Datum,Schwefeldioxid,Kohlenmonoxid,ozon,Stickstoffdioxid,Stickstoffmonoxid,Feinstaub PM10,Lufttemperatur,Luftfeuchte relativ,Luftdruck (hpa),Windgeschwindigkeit (m/s),Regendauer (min)
28.01.2012,2.01,0.36,48.03,34.86,12.53,8.48,2.12,90.22,972.97,1.65,833.02
29.01.2012,1.95,0.47,43.51,22.09,8.41,32.9,0.72,83.28,969.99,3.4,0.02
30.01.2012,2.77,0.63,34.5,48.18,35.21,46.1,0.32,81,970.89,1.23,407.72
31.01.2012,2.38,0.51,38.02,43.91,25.17,34.32,-1.01,83.95,966.03,2.29,198.05
01.02.2012,3.33,0.48,52.45,38.02,15.35,38.22,-4.3,71.18,966.78,2.91,9.32
02.02.2012,5.32,0.49,53.3,34.6,13.95,37.43,-7.21,77.66,968.15,3.77,14.6
03.02.2012,5.88,0.48,48.91,41.98,20.87,29.29,-9.84,66.07,975.15,2.43,0
04.02.2012,7.01,0.47,59.98,39.32,13.07,34.56,-10.56,64.18,978.84,2.07,0
05.02.2012,6.27,0.5,50.39,40,11.35,46.56,-10.5,74.63,976.35,1.81,0.62
06.02.2012,5.92,0.61,44.53,49.64,25.67,44.85,-10.93,74.77,977,2.12,0
07.02.2012,6.77,0.55,38.79,43.05,18.21,42.74,-10.64,76.18,975.48,2.82,1.3
08.02.2012,10.02,0.67,37.67,43.81,18.64,67.19,-7.95,74.11,977.12,2.87,2
09.02.2012,10.67,0.8,33.54,67.07,37.25,90.55,-6.73,77.36,978.36,1.4,56.38
10.02.2012,7.56,0.54,55.92,45.15,19.47,46.84,-7.25,78.79,977.68,2.46,66.03
11.02.2012,8.88,0.47,65.48,28.6,6.71,49.03,-8.5,73.9,973.58,2.92,28.53
12.02.2012,10.49,0.54,76.77,40.61,7.15,58.08,-9.28,71.67,974.88,2.3,0
13.02.2012,10.83,0.77,48.6,77.73,40.91,77.72,-7.34,77.53,972.18,1.02,84.48
14.02.2012,6.32,0.5,44.02,58.22,17.29,42.29,-1.52,78.18,966.36,1.12,493.3
15.02.2012,2.56,0.27,52.42,26.78,3.71,10.36,1.24,87.16,965.29,3.22,1006.75
16.02.2012,3.64,0.48,49.74,53.43,32.37,13.38,2.32,80.14,972.42,0.9,44.33
17.02.2012,4.47,0.46,53.58,56.44,27.55,24.76,2.31,74.31,974.7,1.2,0
18.02.2012,4.5,0.42,56.45,46.13,11.85,27.24,3.49,72.07,969.5,1.34,0
19.02.2012,2.88,0.32,64.8,31.69,4.7,15.06,3.35,81.55,968.7,1.61,512.03
20.02.2012,3.25,0.38,63.13,35.79,15.02,15.09,1.16,65.58,978.84,2.23,0
21.02.2012,4.92,0.57,49.01,64.57,43.11,35.6,-0.01,67.72,979.68,1,0
22.02.2012,4.63,0.71,27.33,73.57,43.44,53.51,1.08,69.35,978.22,1.41,0
23.02.2012,5.65,0.67,9.83,80.28,47.77,55.14,3.67,66.52,976.74,0.92,0
24.02.2012,6.47,0.75,25.94,78.83,67.09,46.93,7.5,64.66,977.29,0.78,0
25.02.2012,2.69,0.42,22.99,37.49,17.8,24.6,6.82,86.19,973.67,0.99,38.95
26.02.2012,2.72,0.37,62.23,31.62,11.41,27.2,5.75,73.2,972.84,1.68,258.97
27.02.2012,3.62,0.53,54.48,52.87,35.58,26.18,5.01,67.24,975,1.41,29.68
28.02.2012,4.54,0.62,50.19,66.69,48.11,35.22,5.73,61.85,974.53,0.97,0
29.02.2012,5.06,0.59,55.5,60.2,47.93,24.11,8.48,64.72,973.01,1.7,0
01.03.2012,3.37,0.6,20.69,52.44,49.86,36.47,8.9,77.27,972.66,1.14,0
02.03.2012,4.54,0.83,53.08,74.08,75.93,50.7,10.42,64.1,973.58,0.84,0
03.03.2012,4.23,0.57,79.38,48.86,29.72,37.41,10.57,59.12,972.02,0.97,0.43
04.03.2012,3.09,0.48,49.35,36.15,11.97,47.02,8.38,72.06,969.37,0.96,0
05.03.2012,2.15,0.3,69.71,26.56,7.23,21.52,5.19,58.64,969.73,2.66,196.72
06.03.2012,2.72,0.37,67.47,36.59,24.35,15.22,4.34,54.57,971.91,1.93,0
07.03.2012,2.88,0.36,66.49,35.97,16.47,26.7,5.64,58.74,972.14,1.8,4.55
08.03.2012,2.03,0.33,82.58,32.02,11.29,13.25,5.12,71.66,974.81,1.87,317.3
09.03.2012,3.44,0.48,67.21,51.44,30.26,20.58,4.27,63.12,983.8,1.94,0
10.03.2012,5.06,0.46,78.62,53.01,22.82,20.64,5.22,51.64,983.11,1.19,0
11.03.2012,5,0.44,51.78,44.6,14.15,23.11,5.9,64.32,980.72,1.3,27.68
12.03.2012,3.66,0.5,67.14,49.32,28.91,25.47,8.72,65.83,978.95,1.12,0
13.03.2012,3.56,0.45,54.17,44.85,26.86,28.76,10.12,62.58,978.1,1.93,0
14.03.2012,3.49,0.58,38.4,53.64,41.43,40.53,9.06,67.02,977.37,1.62,0
15.03.2012,4.64,0.73,41.47,73.9,63.11,43.97,10.78,57.09,976.73,0.8,0
16.03.2012,4.38,0.54,80.64,63.69,36.98,34.32,12.4,46.13,973.56,1.28,0
17.03.2012,4.35,0.42,106.78,47.66,15.49,31.67,12.35,47.34,969.33,1.43,29.12
18.03.2012,3.17,0.36,88.81,32.64,8.71,19.4,8.27,71.2,967.76,1.65,440.83
19.03.2012,1.66,0.37,71.49,43.23,19.41,7.48,5.5,88.52,975.63,1.22,1096.4
20.03.2012,2.23,0.42,48.2,40.48,21.31,23.28,7.91,74.2,981.1,1.21,2.97
21.03.2012,3.45,0.56,60.65,57.85,36.63,25.9,9.73,62.85,980.4,1.41,0
22.03.2012,4.04,0.54,69.03,57.5,32.05,,11.67,57.15,975.89,1.32,0
23.03.2012,4.32,0.62,89.14,66.27,43.46,,12.56,57.12,973.56,0.74,0
24.03.2012,4.02,0.46,99.26,48.01,16.58,36.77,12.67,55.47,973.24,1.15,1.05
25.03.2012,3.06,0.36,101.33,31.63,8.31,28.11,12.85,55.44,976.14,2.01,0
26.03.2012,3.25,0.39,88.05,43.5,23.28,22.88,13.26,45.97,978.51,2.27,0
27.03.2012,3.9,0.41,82.79,47.78,26.14,21.02,12.72,41.18,978.95,1.99,0
28.03.2012,4.55,0.48,93.66,56.26,26.46,27.51,13.82,42.41,975.59,1.52,0
29.03.2012,4.12,0.43,95.36,49.53,29.32,33.58,14.11,47.68,970.82,1.13,0
30.03.2012,3.37,0.28,81.67,30.79,7.34,20.7,13.14,50.28,968.03,1.63,29.85
31.03.2012,2.95,0.28,99.96,25.29,7.53,19.08,12.66,54.98,962.14,1.79,0
01.04.2012,2.48,0.25,96.53,15.06,4.85,13.28,8.9,45.12,963.14,2.5,0
02.04.2012,4.27,0.44,85.41,52.27,23.68,23.82,10.76,43.99,958.46,1.57,0
03.04.2012,2.87,0.36,79.89,48.15,14.43,24.43,13.3,63.21,954.77,1.56,286.35
04.04.2012,1.88,0.37,82.06,40.05,17.57,12.12,11.02,81.27,957.29,1.14,359.15
05.04.2012,1.87,0.41,52.35,42.1,23.86,,9.63,89.55,959.39,1.88,587.88
06.04.2012,2.03,0.38,44.21,26.95,9.68,,9.9,81.04,958.75,1.28,15.8
07.04.2012,2,0.38,65.71,29.91,8.6,,8.97,78.92,954.99,1.23,207.45
08.04.2012,1.87,0.25,79.07,17.19,4.01,,3.44,75.39,962.11,1.79,395.52
09.04.2012,2.35,0.26,78.81,20.56,4.72,,6.23,62.89,959.97,2.25,3.57
10.04.2012,2.59,0.3,94.66,27.97,14.25,,12.69,55.6,950.49,1.85,16.2
11.04.2012,1.72,0.28,85.98,26.44,9.68,8.03,7.21,81.46,952.06,2.31,590.47
12.04.2012,1.97,0.3,76.17,28.73,13.81,8.62,7.16,79.73,953.83,2.06,570.43
13.04.2012,1.99,0.36,78,32.91,18.48,8.32,8.56,68.87,953.3,1.49,190.57
14.04.2012,2.33,0.33,57.49,31.87,10.54,20.89,8.61,72.02,949.15,1.53,167.93
15.04.2012,2.18,0.28,66.63,22.73,5.02,18.35,7.99,79.78,951.38,2.21,542.79
16.04.2012,1.95,0.33,70.77,36.93,17.26,14.9,6.03,83.06,962.87,1.9,802.95
17.04.2012,2.45,0.35,82.51,32.99,16.7,17.57,7.43,60.61,960.23,1.7,16.63
18.04.2012,2.2,0.32,82.37,32.73,12.13,13.36,7.51,72.52,948.98,2.39,262.4
19.04.2012,2.54,0.3,87.27,30.93,13.88,9.7,8.9,66.13,944.43,1.46,94.69
20.04.2012,2.05,0.28,81.22,23.99,8.33,8.45,8.39,68.5,950.03,1.92,151.05
21.04.2012,2.01,0.21,95.42,9.21,2.33,4.47,10.02,62.42,954.31,3.1,343.1
22.04.2012,1.85,0.2,90.87,6.94,1.83,3.61,7.93,70.2,959.9,2.86,225.82
23.04.2012,2.06,0.28,86.95,24.39,10.87,7.96,9.08,69.53,955.46,1.21,362.18
24.04.2012,1.83,0.23,103.86,18.55,6.72,7.34,8.53,71.58,951.21,3.42,306.58
25.04.2012,2.84,0.41,87.3,45.19,20.19,12.38,10.84,61.06,955.12,1.26,0
26.04.2012,3.03,0.44,94.29,45.05,27.33,16.37,15.55,50.48,958.17,1.38,0
27.04.2012,3.02,0.42,100.53,43.7,18.94,21.89,17.43,54.02,964.43,1.46,0
28.04.2012,2.35,0.31,112.71,24.42,6.61,27.01,21.83,38.93,960.93,3.94,0
29.04.2012,2.03,0.19,115.94,7.21,1.97,15.62,22.02,34.7,957.44,3.97,0
30.04.2012,2.24,0.28,93.14,26.85,9.57,15.5,17,52.91,962.04,2.23,0
01.05.2012,2.12,0.21,108.45,10.63,2.9,7.4,15.2,55.12,965.76,1.43,95.47
02.05.2012,1.84,0.23,99.44,17.16,5.86,11.24,14.59,65.9,964.34,2.42,68.53
03.05.2012,2.32,0.29,103.64,29.63,10.54,13.06,15.39,56.25,962.61,1.25,0
04.05.2012,1.79,0.3,113.16,30.92,13.55,15.37,16.89,51.39,956.77,1.18,99.43
05.05.2012,1.13,0.23,94.68,16.44,4.93,7.85,13.2,77.66,956.86,2.04,692.33
06.05.2012,1.07,0.23,90.61,15.43,4.83,4.73,11.86,77.81,960.66,1.8,308.06
07.05.2012,1.37,0.34,83.9,36.75,20.08,9.15,13.07,68.39,966.55,0.97,100.9
08.05.2012,1.2,0.31,96.59,35.03,16.56,12.72,14.8,63.62,965.91,1.26,267.82
09.05.2012,0.57,0.36,55.59,37.31,20.04,15.01,15.44,84.6,968.54,1.17,579.83
10.05.2012,0.98,0.44,83.88,40.83,31.31,18.13,19.68,65.54,972.13,1.08,0
11.05.2012,0.99,0.32,105.83,34.04,15.05,18.29,23.34,45.68,972.81,1.56,0
12.05.2012,0.26,0.29,69.49,23.9,8.96,12.6,13.49,81.75,977.56,1.65,739.08
13.05.2012,0.84,0.24,102.92,13.95,4.95,12.24,11.22,53.08,974.99,2.68,0
14.05.2012,1.43,0.34,105.98,35.61,14.81,13.09,11.73,45.08,967.65,1.66,0
15.05.2012,1.5,0.26,103.22,27.11,8.49,16.13,11.49,55.08,962.46,2.81,81.88
16.05.2012,1.08,0.22,88.53,16.75,4.82,7.34,7.72,68.35,971.07,2.77,401.63
17.05.2012,1.61,0.24,97.26,13.62,4.38,7.44,10.65,56.58,968.61,1.97,0
18.05.2012,1.8,0.33,82.99,35.93,13.12,16.13,13.54,65.62,961.71,1.32,147.77
19.05.2012,1.7,0.32,104.45,26.49,6.64,20,17.42,63.86,960.67,1.3,54.62
20.05.2012,1.65,0.27,93.92,21.88,4.59,14.93,18.35,55.73,954.93,1.36,1.9
21.05.2012,1.23,0.27,95.26,27.89,9.22,11.72,16.48,72.13,950,1.38,277.32
22.05.2012,1.08,0.28,93.37,24.57,9.35,7.81,16.42,70.22,957.71,1.36,294.97
23.05.2012,0.93,0.38,64.8,35.31,16.29,20.59,16.26,86.42,969.39,1.01,354.3
24.05.2012,0.98,0.43,99.73,39.6,17.67,31.88,19.13,76.79,971.65,1.73,73.07
25.05.2012,1.27,0.3,126.15,28.13,8.96,23.68,19.25,53.24,968.51,2.9,0.02
26.05.2012,1.71,0.28,133.82,19.82,5.08,17.78,18.49,41.57,967.12,2.58,0
27.05.2012,2.2,0.31,125.05,21.98,4.42,20.56,17.14,46.01,966.75,1.72,0.02
28.05.2012,1.79,0.3,124.93,19.81,3.09,17.39,19.16,46.75,965.6,1.04,0
29.05.2012,1.54,0.37,117.56,39.12,11.96,26.2,20.21,50.52,965.06,1.17,147.85
30.05.2012,1.52,0.32,142.74,37.61,12.06,22.6,20.45,53.71,967.73,1.32,31.13
31.05.2012,1.2,0.24,114.75,21.09,6.27,19.13,19.89,61.21,969,2.33,92.75
01.06.2012,1.23,0.26,90.11,23.11,7.57,19.89,18.37,61.2,967.98,1.99,0
02.06.2012,1.38,0.3,95.64,21.9,7.28,11.66,21.05,55.02,964.14,1.21,0
03.06.2012,1.14,0.25,95.49,17.42,3.7,13.16,17.82,78.25,961.44,2.04,737.67
04.06.2012,1.02,0.21,84.24,19.94,8.35,8.62,14.63,78.21,963.36,2.19,440.92
05.06.2012,1.32,0.32,68.19,34.21,20.38,12.61,13.48,66.54,966.46,1.32,97.62
06.06.2012,1.23,0.32,68.96,34.82,15.48,18.83,15.84,75.55,961.54,2.06,157.48
07.06.2012,1.15,0.33,86.57,31.6,16.45,16.77,19.3,73.79,958.13,1.79,339.17
08.06.2012,0.99,0.25,69.6,26.86,10.8,9.56,16.1,84.18,962.49,2,562.58
09.06.2012,1.11,0.2,83.78,11.97,3.7,11.4,15.8,69.52,965.69,2.02,145.9
10.06.2012,1.17,0.23,82.25,13.76,5.57,9.31,14.27,77.66,961.38,1.17,637.25
11.06.2012,1.14,0.19,70.58,14.39,4.98,7.37,15.82,74.81,955.79,2.35,288.82
12.06.2012,1.05,0.22,64.1,23.78,8.45,6.71,12.58,88.8,956.37,1.93,1090.88
13.06.2012,1.18,0.21,72.33,18.1,5.38,8.31,13.5,78.09,965.18,2,305.57
14.06.2012,1.51,0.33,82.07,32.97,18.25,,16,64.63,967.72,1,0
15.06.2012,1.6,0.35,130.1,37.26,14.01,17.9,20.62,59.19,967.25,1.15,0
16.06.2012,1.56,0.27,134.3,19.21,3.91,21.34,23.87,51.96,967.76,1.56,0
17.06.2012,1.3,0.23,99.93,12.39,4.04,13.09,21.33,62.04,970.6,1.33,0
18.06.2012,1.27,0.29,130.59,25.19,7.94,24.37,24.15,59.36,967.12,1.5,0.28
19.06.2012,1.14,0.28,118.11,28.67,9.06,22.33,23.5,65.99,966.58,1.41,15.97
20.06.2012,1.1,0.25,75.32,24.61,8.72,22.72,21.12,74.6,964.88,1.39,183.62
21.06.2012,1.13,0.28,97.56,27.52,13.17,20.4,21.15,73.34,962.61,1.17,63.23
22.06.2012,1.26,0.2,93.69,16.18,5.59,14.13,18.87,58.9,970.73,1.55,16.07
23.06.2012,1.47,0.22,102.01,15.92,4.9,15.59,20.06,46.82,973.17,1.12,0
24.06.2012,1.46,0.24,108.79,18.06,3.68,17.06,20.35,56,969.08,1.76,58.4
25.06.2012,1.22,0.18,90.94,15.24,5.66,7.41,18.35,72.16,968.41,2.69,523.85
26.06.2012,1.27,0.26,61.64,30.35,16.29,12.57,18.52,67.18,971.8,1.78,0.95
27.06.2012,1.23,0.29,90.21,28.85,13.32,11.9,22.14,63.88,970.05,1.32,0
28.06.2012,1.19,0.44,102.47,49.37,20.33,25.6,23.72,65.77,963.17,1.12,50.97
29.06.2012,1.24,0.36,133.17,37.47,12.85,40.19,26.17,63.09,961.68,1.45,93.05
30.06.2012,1.21,0.28,126.22,22.34,5.92,39.25,25.32,65.7,962.54,1.39,39.6
01.07.2012,1.15,0.23,75.72,17.9,6.01,15,18.41,87.96,968.04,1.46,431.88
02.07.2012,1.1,0.3,51.22,30.81,18.42,13.92,17.69,87.12,967.5,1.41,673.57
03.07.2012,1.16,0.31,60.74,28.27,15.9,12.79,17.86,86.24,967.84,1.08,304
04.07.2012,1.18,0.37,81.95,34.44,19.26,21.55,20.07,78.3,964.17,1.3,10.9
05.07.2012,1.25,0.34,102.21,35.77,16.42,19.18,21.22,73.99,961.44,0.95,48.1
06.07.2012,1.23,0.35,92.14,44.87,19.68,13.72,18.02,83.75,963.7,0.88,480.35
07.07.2012,1.35,0.28,94.82,22.67,8.13,13.37,20.7,68.28,963.9,0.9,40.23
08.07.2012,1.37,0.23,93.3,13.55,4.02,9.35,20.6,65.74,962.4,1.73,77.95
09.07.2012,1.41,0.25,90.24,21.22,9.56,9.21,21.63,54.84,965.21,1.14,68.67
10.07.2012,1.26,0.35,100.14,36.67,16.78,15.38,20.04,77.69,965.01,0.97,214.92
11.07.2012,1.26,0.24,77.91,21.89,11.08,12.03,18.42,64.82,966.74,1.44,115.67
12.07.2012,1.38,0.22,71.78,20.77,9.04,10.8,17.23,59.97,968.48,1.61,15.73
13.07.2012,1.45,0.23,82.22,24.97,8.69,12.08,18.08,67.47,961.51,1.8,350
14.07.2012,1.5,0.17,80.11,8.43,2.85,7.4,19.77,56.62,960.86,2.88,3.05
15.07.2012,1.46,0.16,65.89,7.87,2.65,6.2,15.53,72.09,967.95,2.03,376.83
16.07.2012,1.67,0.2,79,16.75,6.75,8.49,16.9,56.03,976.05,1.66,19.65
17.07.2012,1.61,0.17,81.91,11.08,3.78,11.21,20.03,51.99,975.68,2.82,0
18.07.2012,1.6,0.28,90.63,25.3,9.66,18.29,22.21,57.09,969.71,1.42,0
19.07.2012,1.59,0.25,85.36,22.4,7.6,15.33,21.55,58.68,964.19,1.85,0
20.07.2012,1.58,0.24,69.59,24.92,11.97,11.78,17.93,69.27,966.22,1.27,380.62
21.07.2012,1.53,0.21,74.84,14.63,5.74,8.09,14.56,85.9,970.11,1.36,474.18
22.07.2012,1.71,0.19,82.46,12.07,4.91,9,15.68,64.8,974.15,2.12,0
23.07.2012,1.92,0.23,89.46,18.79,9.97,10.91,17.71,54.04,971.64,2.97,0
24.07.2012,2.04,0.33,120.43,36.28,11.72,23.5,21.05,59.08,966.85,1,0
25.07.2012,1.74,0.38,141.49,37,9.8,30.86,22.99,66.23,965.95,1.08,33.55
26.07.2012,1.14,0.38,125.14,36.07,11.73,29.48,24.51,57.43,966.95,1.18,0
27.07.2012,0.43,0.35,158.46,36.1,11.26,32.89,26.06,52.65,963.92,1.26,18.72
28.07.2012,0.28,0.22,102.97,15.79,3.42,25.77,22.37,66.84,962.32,1.92,346.63
29.07.2012,0.3,0.2,81.46,9.79,2.49,13.47,18.37,78.41,965.64,1.33,263.63
30.07.2012,0.73,0.25,96.25,19.95,7.71,15.25,19.49,61.18,969.04,1.11,0
31.07.2012,1.08,0.32,110.94,30.6,13.47,17.23,21.18,59.42,968.84,1.06,0
01.08.2012,1.4,0.33,116.43,20.55,4.83,40.46,23.65,58.51,964.64,1.39,13.2
02.08.2012,1.15,0.21,120.18,15.2,3.84,20.67,23.1,60.97,965.86,1.66,87.08
03.08.2012,0.62,0.25,89,21.41,7.73,13.67,21.67,66.12,967.36,1.03,116.38
04.08.2012,0.88,0.26,123.62,20.77,5.03,15.96,22.47,58.42,964.53,1.01,105.5
05.08.2012,0.61,0.21,95.55,9.78,3.07,,21.13,73.31,961.89,1.44,204.25
06.08.2012,0.66,0.22,98.01,18.15,6.15,,17.73,77.14,966.68,1.65,270.03
07.08.2012,0.47,0.25,81.28,20.51,14.67,9.43,18.76,64.62,972.97,1.15,0
08.08.2012,0.52,0.26,90.28,27.05,12.21,9.92,20.33,57.15,973.04,1.36,0
09.08.2012,0.88,0.3,99.46,32.52,12.45,15.64,20.83,58.59,972.94,1.33,0
10.08.2012,1.01,0.35,113.39,32.19,12.45,16.54,21.35,56.37,972.01,1.28,0
11.08.2012,1.04,0.34,117.92,18.44,5.31,18.82,20.11,56.62,968.83,2.12,0
12.08.2012,0.99,0.32,120.05,15.51,3.75,15.69,20.31,57.22,964.31,1.55,0
13.08.2012,0.76,0.33,116.25,26.11,8.4,18.92,22.21,61.42,963.83,1.11,0
14.08.2012,1,0.41,122.59,42.02,17.24,,23.02,57.07,963.83,1.14,0
15.08.2012,0.86,0.41,124.19,40.12,14.58,24.77,24.92,56.3,962.54,1.5,92.95
16.08.2012,0.41,0.32,86.66,28.91,12.46,7.3,19.62,76.12,969.34,1.53,431.97
17.08.2012,0.56,0.39,94.41,36.99,18.89,14.31,21.2,69.18,970.23,1.24,0
18.08.2012,0.64,0.48,128.06,32.3,8.48,18.05,23.65,63.63,970.42,1.41,0
19.08.2012,0.56,0.51,141.21,30.94,6.73,20.89,25.55,63.58,970.56,0.93,0
20.08.2012,0.55,0.4,151.73,29.65,11.04,29.52,26.45,61.54,971.13,1.61,48.95
21.08.2012,0.49,0.47,117.74,44.91,19.49,29.15,25.01,67.94,968.57,1.16,0
22.08.2012,0.76,0.36,129.75,27.62,7.34,30.73,25.27,59.67,967.55,1.49,54.1
23.08.2012,0.72,0.36,101.3,30.53,11.59,22.42,22.8,72.31,964.85,1.59,54.55
24.08.2012,0.68,0.34,92.43,31.49,11.12,17.54,20.63,79.59,961.94,1.44,554.62
25.08.2012,0.68,0.32,86.5,12.84,3.51,13.83,20.33,76.73,962.9,1.67,352.45
26.08.2012,0.95,0.27,74.49,6.07,1.52,6.43,17.96,60.44,968.99,2.2,31.38
27.08.2012,1.35,0.34,75.18,32.18,21.45,10,18.23,59.18,970.69,1.62,0
28.08.2012,1.42,0.4,107,37.9,16.58,21.97,20.06,63.2,969.52,1.21,40.57
29.08.2012,1.17,0.43,97.75,39.46,19.44,20.3,21.55,64.11,969.56,1.25,90.32
30.08.2012,0.94,0.33,70.09,28.38,11.51,11.54,17.71,82.85,969.22,1.54,718.4
31.08.2012,0.99,0.33,66.41,25.34,10.35,7.93,13.04,86.73,969.89,1.8,659.87
01.09.2012,1.13,0.38,48.22,26.14,10.37,8.85,12.48,92.77,970.6,1.22,766.03
02.09.2012,1.39,0.35,53.38,17.09,7.71,11.47,15.83,81.08,972.03,1.5,0
03.09.2012,1.32,0.4,60.26,34.94,19.39,16.71,17.52,77.74,970.73,1.56,0
04.09.2012,1.34,0.4,72.43,32.16,17.65,32.81,19.67,75.48,968.15,2.03,0.23
05.09.2012,1.46,0.44,74.31,42.5,18.76,42,19.22,76.19,968.56,1.27,16.32
06.09.2012,1.5,0.37,62.58,32.35,16.23,22.5,17.7,74.97,973.46,1.99,0
07.09.2012,1.99,0.46,77.49,47.82,29.22,25.32,17.32,74.38,974.24,0.97,0
08.09.2012,2.14,0.5,95.94,38.38,14.2,22.59,17.61,73.05,971.31,1.25,4.68
09.09.2012,2.35,0.54,125.46,40.35,12.1,23.92,19.71,68.2,967.67,0.89,0
10.09.2012,1.95,0.42,124.25,38.49,10.97,24.5,21.94,59.53,967.72,0.96,0
11.09.2012,1.95,0.39,111.18,38.51,15.72,27.29,20.42,68.95,966.39,1.62,166.15
12.09.2012,1.82,0.26,74.2,20.51,5.39,7.43,13.14,80.71,965.74,1.9,833.97
13.09.2012,2.66,0.33,65.53,34.53,16.19,11.23,11.84,71.16,966.56,0.89,69.93
14.09.2012,3.08,0.41,88.22,40.52,30.41,20.25,12.77,69.84,967.32,1.21,0
15.09.2012,3,0.38,74.21,32.46,12.04,12.5,15.17,69.38,967.73,1.11,0
16.09.2012,2.8,0.38,69.02,27.98,8.96,14.69,14.88,78.1,966.12,1.07,0
17.09.2012,2.88,0.51,100.48,47.09,33.16,24.28,17.34,74.18,965.44,0.74,0
18.09.2012,2.34,0.45,88.56,40.59,29.49,25.61,17.8,77.4,963.97,1.05,325.63
19.09.2012,1.94,0.31,72.07,30.33,12.96,10.88,12.81,82.37,968.95,1.52,706.32
20.09.2012,3.16,0.38,65.06,41,29.2,11.81,11.38,70.76,972.04,1.87,0
21.09.2012,3.08,0.48,76.1,47.31,42.97,22.89,14.62,70.79,967.11,1.43,191.9
22.09.2012,1.14,0.34,74.84,20.48,5.14,10.32,14.99,89.41,965.66,1.68,471.67
23.09.2012,1.53,0.36,43.63,21.76,10.57,14.2,15.04,85,962.74,1.31,0
24.09.2012,1.35,0.32,68.11,22.88,13.25,13.52,16.1,79.11,955.19,2.19,92.65
25.09.2012,1.85,0.33,65.48,34.24,18.12,11.89,15.39,71.72,954.57,1.38,0
26.09.2012,2.03,0.38,83.08,32.13,34.43,15.7,13.93,77.05,953.73,1.64,260.2
27.09.2012,1.63,0.26,95.61,21.05,8.31,6.67,13.42,66.96,963.13,2.66,158.18
28.09.2012,2.76,0.45,58.35,46.71,41.68,14.02,13.9,70.01,968.45,0.96,5.18
29.09.2012,2.58,0.49,51.1,44.37,23.15,16.3,12.2,88.73,967.73,0.84,668.03
30.09.2012,2.52,0.37,39.88,21.89,8.88,15.64,12.39,86.09,969.45,1.81,0
01.10.2012,2.41,0.44,45.33,38.86,27.92,18.23,13.94,82.03,968.49,0.71,26.62
