<article n="1">
Tremoggia	TRUNC	unk
und	KON	und
Fora	NN	Forum
.	$.	.
<s lang="de" n="1-12">
Wende	NN	Wende
dich	PPER	du
um	PTKVZ	um
!	$.	!
<s lang="de" n="1-13">
Zu	APPR	zu
deinen	PPOSAT	dein
Füssen	NN	Fuss
leuchten	VVFIN	leuchten
die	ART	d
Seen	NN	See
von	APPR	von
Sils	NE	Sils
und	KON	und
Silvaplana	NE	Silvaplana
,	$,	,
und	KON	und
hoch	ADJD	hoch
hinten	ADV	hinten
ragen	VVFIN	ragen
die	ART	d
Felsburgen	NN	Felsburg
des	ART	d
Lagrev	NN	unk
und	KON	und
Polaschin	NN	unk
.	$.	.
<s lang="de" n="1-14">
Der	ART	d
Fexbach	NN	Fexbach
plaudert	VVFIN	plaudern
neben	APPR	neben
dir	PPER	du
,	$,	,
und	KON	und
in	APPR	in
der	ART	d
Tiefe	NN	Tiefe
rauscht	VVFIN	vorbei+rauschen
der	PDS	d
Inn	NE	Inn
am	APPRART	am
schlanken	ADJA	schlank
Kirchturm	NN	Kirchturm
von	APPR	von
Sils	NE	Sils
Baselgia	NE	unk
vorbei	PTKVZ	vorbei
.	$.	.
<s lang="de" n="1-15">
Das	PDS	d
ist	VAFIN	sein
die	ART	d
Heimat	NN	Heimat
Christian	NE	Christian
Kluckers	NE	Kluckers
,	$,	,
hier	ADV	hier
ist	VAFIN	sein
er	PPER	er
aufgewachsen	VVPP	aufwachsen
.	$.	.
<s lang="de" n="1-16">
Keine	PIAT	kein
beengende	ADJA	beengend
Landschaft	NN	Landschaft
mit	APPR	mit
unbedeutendem	ADJA	unbedeutend
Horizont	NN	Horizont
,	$,	,
im	APPRART	im
Gegenteil	NN	Gegenteil
,	$,	,
etwas	PIAT	etwas
Beruhendes	ADJA	beruhend
,	$,	,
Grosszügiges	ADJA	grosszügig
hat	VAFIN	haben
sie	PPER	sie
.	$.	.
<s lang="de" n="1-17">
Man	PIS	man
muss	VMFIN	müssen
sie	PPER	sie
lieb	ADJD	lieb
bekommen	VVINF	bekommen
,	$,	,
und	KON	und
man	PIS	man
versteht	VVFIN	verstehen
,	$,	,
dass	KOUS	dass
ein	ART	ein
Mensch	NN	Mensch
hier	ADV	hier
nicht	PTKNEG	nicht
mehr	ADV	mehr
weg	ADV	weg
kann	VMFIN	können
,	$,	,
wenn	KOUS	wenn
er	PPER	er
einmal	ADV	ein#mal
Wurzeln	NN	Wurzel
gefasst	VVPP	fassen
hat	VAFIN	haben
,	$,	,
und	KON	und
mag	VMFIN	mögen
ihn	PPER	er
das	ART	d
Leben	NN	Leben
noch	ADV	noch
so	ADV	so
sehr	ADV	sehr
bedrängen	VVINF	bedrängen
.	$.	.
<s lang="de" n="1-18">
Die	ART	d
Jugend	NN	Jugend
Kluckers	NE	Kluckers
sagt	VVFIN	sagen
uns	PRF	wir
nicht	PTKNEG	nicht
viel	PIS	viel
,	$,	,
sie	PPER	sie
war	VAFIN	sein
die	PDS	d
eines	ART	ein
Bergbauern-buben	NN	unk
.	$.	.
<s lang="de" n="1-19">
Immerhin	ADV	immerhin
,	$,	,
er	PPER	er
war	VAFIN	sein
der	ART	d
Jüngste	NN	Jüngste
der	ART	d
Familie	NN	Familie
,	$,	,
aber	KON	aber
der	ART	d
Begabteste	NN	Begabteste
an	APPR	an
Leib	NN	Leib
und	KON	und
Seele	NN	Seele
.	$.	.
<s lang="de" n="1-20">
Dies	PDS	dies
wurde	VAFIN	werden
sein	PPOSAT	sein
Verhängnis	NN	Verhängnis
,	$,	,
sein	PPOSAT	sein
Schicksal	NN	Schicksal
.	$.	.
<s lang="de" n="1-21">
Der	ART	d
Vater	NN	Vater
erkannte	VVFIN	erkennen
die	ART	d
Gefahr	NN	Gefahr
für	ADV	für
die	ART	d
Zukunft	NN	Zukunft
der	ART	d
geringer	ADJA	gering
veranlagten	ADJA	veranlagt
Geschwister	NN	Geschwister
und	KON	und
beging	VVFIN	begehen
aus	APPR	aus
Fürsorge	NN	Fürsorge
eine	ART	ein
Gewalttat	NN	Gewalttat
.	$.	.
<s lang="de" n="1-22">
Er	PPER	er
rief	VVFIN	rufen
den	PDS	d
noch	ADV	noch
nicht	PTKNEG	nicht
mündigen	ADJA	mündig
Christian	NE	Christian
,	$,	,
der	PRELS	d
eben	ADV	eben
in	APPR	in
Samaden	NE	Samaden
unten	ADV	unten
seine	PPOSAT	sein
Lehrzeit	NN	Lehrzeit
als	KON	als
Wagner	NN	Wagner
beendigt	VVPP	beendigen
hatte	VAFIN	haben
,	$,	,
vorzeitig	ADJD	vorzeitig
heim	PTKVZ	heim
und	KON	und
übertrug	VVFIN	übertragen
ihm	PPER	er
Haus	NN	Haus
und	KON	und
Land	NN	Land
.	$.	.
<s lang="de" n="1-23">
Er	PPER	er
ahnte	VVFIN	ahnen
vielleicht	ADV	vielleicht
einen	ART	ein
Anmerkung	NN	Anmerkung
:	$.	:
<s lang="de" n="1-24">
Diese	PDAT	dies
Studie	NN	Studie
ist	VAFIN	sein
sowohl	KON	sowohl
für	ADV	für
«	$(	«
Die	ART	d
Alpen	NN	Alp
»	$(	»
wie	KON	wie
für	ADV	für
das	ART	d
Buch	NN	Buch
Christian	NE	Christian
Klucker	NE	Klucker
,	$,	,
Erinnerungen	NN	Erinnerung
eines	ART	ein
Bergführers	NN	Bergführer
,	$,	,
2.	ADJA	@ord@
Auflage	NN	Auflage
-	$(	-
Eugen	NE	Eugen
Rentsch	NE	Rentsch
Verlag	NN	Verlag
,	$,	,
Erlenbach	NE	Erlenbach
(	$(	(
Zürich	NE	Zürich
)	$(	)
1930	CARD	@card@
-	$(	-
,	$,	,
geschrieben	VVPP	schreiben
worden	VAPP	werden
.	$.	.
<s lang="de" n="1-25">
Als	KOKOM	als
Quellen	NN	Quelle
dienten	VVFIN	dienen
mir	PPER	ich
Kluckers	NE	Kluckers
Erinnerungen	NN	Erinnerung
,	$,	,
sein	PPOSAT	sein
Führerbuch	NN	Führerbuch
,	$,	,
seine	PPOSAT	sein
vielen	PIAT	viel
Briefe	NN	Brief
und	KON	und
was	PIS	was
er	PPER	er
selbst	ADV	selbst
mir	PPER	ich
erzählt	VVPP	erzählen
hatte	VAFIN	haben
.	$.	.
<s lang="de" n="1-26">
VII1	ADJA	unk
r	ADJA	unk
frühen	ADJA	früh
Tod	NN	Tod
und	KON	und
baute	VVFIN	vor+bauen
vor	PTKVZ	vor
.	$.	.
<s lang="de" n="1-27">
Nun	ADV	nun
trug	VVFIN	tragen
der	ART	d
unerfahrene	ADJA	unerfahren
Sohn	NN	Sohn
die	ART	d
Last	NN	Last
für	ADV	für
die	ART	d
ganze	ADJA	ganz
Familie	NN	Familie
.	$.	.
<s lang="de" n="1-28">
Diese	PDAT	dies
Last	NN	Last
war	VAFIN	sein
zu	PTKA	zu
schwer	ADJD	schwer
und	KON	und
drückte	VVFIN	drücken
ihn	PPER	er
.	$.	.
<s lang="de" n="1-29">
Er	PPER	er
hatte	VAFIN	haben
was	PIS	was
anderes	PIS	ander
werden	VAINF	werden
wollen	VMFIN	wollen
,	$,	,
etwas	ADV	etwas
grösseres	ADJA	gross
,	$,	,
nur	ADV	nur
nicht	PTKNEG	nicht
ein	ART	ein
schuldenbeladenes	ADJA	schuldenbeladen
Kleinbäuerchen	NN	Kleinbäuerchen
und	KON	und
Wagnermeisterlein	NN	unk
.	$.	.
<s lang="de" n="1-30">
Er	PPER	er
liebte	VVFIN	lieben
die	ART	d
Natur	NN	Natur
so	ADV	so
sehr	ADV	sehr
.	$.	.
<s lang="de" n="1-31">
Sie	PPER	Sie|sie
zu	PTKZU	zu
studieren	VVINF	studieren
,	$,	,
zu	ADV	zu
erfahren	VVPP	erfahren
:	$.	:
<s lang="de" n="1-32">
darnach	ADV	unk
verlangte	VVFIN	verlangen
seine	PPOSAT	sein
Seele	NN	Seele
.	$.	.
<s lang="de" n="1-33">
Aber	KON	aber
nun	ADV	nun
war	VAFIN	sein
der	ART	d
Weg	NN	Weg
dazu	PAV	dazu
verschüttet	VVPP	verschütten
.	$.	.
<s lang="de" n="1-34">
Was	PWS	was
tun	VVINF	tun
?	$.	?
<s lang="de" n="1-35">
Er	PPER	er
verdiente	VVFIN	verdienen
zu	ADV	zu
wenig	PIS	wenig
und	KON	und
wurde	VAFIN	werden
-	$(	-
Bergführer	NN	Bergführer
.	$.	.
<s lang="de" n="1-36">
Das	PDS	d
trug	VVFIN	ein+tragen
etwas	PIAT	etwas
Geld	NN	Geld
ein	PTKVZ	ein
und	KON	und
war	VAFIN	sein
ein	ART	ein
Ersatz	NN	Ersatz
für	ADV	für
das	ART	d
unzugängliche	ADJA	unzugänglich
Ideal	NN	Ideal
.	$.	.
<s lang="de" n="1-37">
Vielleicht	ADV	vielleicht
glaubte	VVFIN	glauben
er	PPER	er
im	NE	im
stillen	VVINF	stillen
,	$,	,
es	PPER	es
auf	APPR	auf
einem	ART	ein
schwierigen	ADJA	schwierig
und	KON	und
langen	ADJA	lang
Umweg	NN	Umweg
doch	ADV	doch
zu	PTKZU	zu
erreichen	VVINF	erreichen
.	$.	.
<s lang="de" n="1-38">
Vielleicht	ADV	vielleicht
,	$,	,
man	PIS	man
weiss	VVFIN	wissen
es	PPER	es
nicht	PTKNEG	nicht
und	KON	und
ahnt	VVFIN	ahnen
es	PPER	es
doch	ADV	doch
aus	APPR	aus
den	ART	d
Klagen	NN	Klage
des	ART	d
Alters	NN	Alter
.	$.	.
<s lang="de" n="1-39">
Er	PPER	er
wusste	VVFIN	wissen
mehr	ADV	mehr
als	KOKOM	als
seine	PPOSAT	sein
Kameraden	NN	Kamerad
,	$,	,
ging	VVFIN	gehen
gern	ADV	gern
allein	PTKVZ	allein
,	$,	,
erstieg	VVFIN	ersteigen
schon	ADV	schon
hohe	ADJA	hoch
Berge	NN	Berg
und	KON	und
schärfte	VVFIN	schärfen
seine	PPOSAT	sein
Sinne	NN	Sinn
.	$.	.
<s lang="de" n="1-40">
Sein	PPOSAT	sein
mittelgrosser	ADJA	mittelgross
Körper	NN	Körper
war	VAFIN	sein
kräftig	ADJD	kräftig
und	KON	und
trug	VVFIN	tragen
einen	ART	ein
schönen	ADJA	schön
,	$,	,
intelligenten	ADJA	intelligent
Kopf	NN	Kopf
mit	APPR	mit
hellen	ADJA	hell
,	$,	,
klugen	ADJA	klug
Augen	NN	Auge
.	$.	.
<s lang="de" n="1-41">
Er	PPER	er
gefiel	VVFIN	gefallen
und	KON	und
wusste	VVFIN	wissen
es	PPER	es
wohl	ADV	wohl
auch	ADV	auch
,	$,	,
aber	KON	aber
er	PPER	er
bildete	VVFIN	ein+bilden
sich	PRF	er|es|sie
nichts	PIS	nichts
ein	PTKVZ	ein
.	$.	.
<s lang="de" n="1-42">
Die	ART	d
spärlich	ADJD	spärlich
vorhandenen	ADJA	vorhanden
Führerzeugnisse	NN	Führerzeugnis
vor	APPR	vor
1887	CARD	@card@
rühmen	VVFIN	rühmen
seine	PPOSAT	sein
angenehme	ADJA	angenehm
Bildung	NN	Bildung
und	KON	und
Umsicht	NN	Umsicht
,	$,	,
seine	PPOSAT	sein
willige	ADJA	willig
Art	NN	Art
,	$,	,
er	PPER	er
ist	VAFIN	sein
ein	ART	ein
«	$(	«
pleasant	ADJA	unk
companion	NN	unk
»	$(	»
und	KON	und
«	$(	«
good	NN	unk
guide	ADJA	unk
»	$(	»
,	$,	,
bescheiden	ADJD	bescheiden
,	$,	,
zeichnet	VVFIN	aus+zeichnen
sich	PRF	er|es|sie
aus	PTKVZ	aus
«	$(	«
per	APPR	per
la	FM	la
sua	NN	unk
massima	NE	unk
prudenza	NE	unk
e	ADJA	unk
conoscenza	NN	unk
di	NE	di
tutte	FM	tutte
le	ADJA	unk
punte	ADJA	unk
e	ADJA	unk
montagne	ADJA	unk
adiacenti	NN	unk
»	$(	»
,	$,	,
«	$(	«
er	PPER	er
ist	VAFIN	sein
heiter	ADJD	heiter
und	KON	und
höflich	ADJD	höflich
und	KON	und
hat	VAFIN	haben
sehr	ADV	sehr
viel	ADV	viel
gelesen	VVPP	lesen
,	$,	,
was	PRELS	was
ihn	PPER	er
zu	APPR	zu
einem	ART	ein
sehr	ADV	sehr
interessanten	ADJA	interessant
Gefährten	NN	Gefährte
macht	VVFIN	machen
»	$(	»
,	$,	,
«	$(	«
seine	PPOSAT	sein
Preise	NN	Preis
sind	VAFIN	sein
im	APPRART	im
Vergleich	NN	Vergleich
mit	APPR	mit
denen	PDS	d
zu	APPR	zu
Pontresina	NE	Pontresina
massig	ADJD	massig
»	$(	»
:	$.	:
<s lang="de" n="1-43">
So	ADV	so
tönt	VVFIN	tönen
es	PPER	es
aus	APPR	aus
den	ART	d
ältesten	ADJA	alt
Lobsprüchen	NN	Lobspruch
von	APPR	von
Herren	NN	Herr
und	KON	und
Damen	NN	Dame
.	$.	.
<s lang="de" n="1-44">
Aber	KON	aber
diese	PDS	dies
von	APPR	von
ihm	PPER	er
geführten	ADJA	geführt
Menschen	NN	Mensch
wagten	VVFIN	wagen
keine	PIAT	kein
grossen	ADJA	gross
und	KON	und
ernsten	ADJA	ernst
Ziele	NN	Ziel
.	$.	.
<s lang="de" n="1-45">
Der	ART	d
erwachende	ADJA	erwachend
Ehrgeiz	NN	Ehrgeiz
und	KON	und
<s lang="de" n="1-46">
Trotz	APPR	trotz
Kluckers	NE	Kluckers
,	$,	,
wenigstens	ADV	wenigstens
als	KOKOM	als
Bergführer	NN	Bergführer
etwas	PIS	etwas
zu	PTKZU	zu
gelten	VVINF	gelten
,	$,	,
wenn	KOUS	wenn
es	PPER	es
doch	ADV	doch
anders	ADV	anders
nicht	PTKNEG	nicht
möglich	ADJD	möglich
war	VAFIN	sein
,	$,	,
bekam	VVFIN	bekommen
zu	ADV	zu
wenig	PIAT	wenig
Nahrung	NN	Nahrung
.	$.	.
<s lang="de" n="1-47">
Er	PPER	er
blickte	VVFIN	blicken
nach	APPR	nach
Pontresina	NE	Pontresina
,	$,	,
wo	PWAV	wo
ein	ART	ein
Hans	NE	Hans
Grass	NE	Grass
(	$(	(
1828-1902	CARD	@card@
)	$(	)
in	APPR	in
voller	ADJA	voll
Blüte	NN	Blüte
stand	VVFIN	stehen
.	$.	.
<s lang="de" n="1-48">
Der	PDS	d
hatte	VAFIN	haben
auch	ADV	auch
einmal	ADV	ein#mal
bescheiden	ADJD	bescheiden
angefangen	VVPP	anfangen
,	$,	,
war	VAFIN	sein
von	APPR	von
älteren	ADJA	alt
Führern	NN	Führer
zur	APPRART	zur
Seite	NN	Seite
geschoben	VVPP	schieben
worden	VAPP	werden
und	KON	und
hatte	VAFIN	haben
doch	ADV	doch
seinen	PPOSAT	sein
Weg	NN	Weg
zu	APPR	zu
Ruhm	NN	Ruhm
und	KON	und
Ehre	NN	Ehre
gemacht	VVPP	machen
.	$.	.
<s lang="de" n="1-49">
Mit	APPR	mit
Paul	NE	Paul
Güssfeldt	NE	Güssfeldt
von	NE	von
Berlin	NE	Berlin
war	VAFIN	sein
il	ADJA	unk
im	NE	im
die	ART	d
erste	ADJA	erst
Ersteigung	NN	Ersteigung
des	ART	d
Monte	NE	Monte
di	NE	di
Scerscen	NN	unk
und	KON	und
des	ART	d
Bernina	NE	Bernina
über	APPR	über
den	NE	den
Biancograt	NE	Biancograt
gelungen	VVPP	gelingen
.	$.	.
<s lang="de" n="1-50">
Ha	NE	Ha
,	$,	,
das	PRELS	d
waren	VAFIN	sein
andere	ADJA	ander
Ziele	NN	Ziel
als	KON	als
die	ART	d
Berge	NN	Berg
von	APPR	von
Sils	NE	Sils
.	$.	.
<s lang="de" n="1-51">
Hans	NE	Hans
Grass	NE	Grass
spasste	VVFIN	spassen
nur	ADV	nur
über	APPR	über
die	ART	d
Fexergipfel	NN	unk
.	$.	.
<s lang="de" n="1-52">
Das	PDS	d
ärgerte	VVFIN	ärgern
den	ART	d
unternehmungslustigen	ADJA	unternehmungslustig
Klucker	NE	Klucker
,	$,	,
der	PRELS	d
auch	ADV	auch
wusste	VVFIN	wissen
,	$,	,
dass	KOUS	dass
der	ART	d
heimatliche	ADJA	heimatlich
Tremoggia	NE	unk
keine	PIAT	kein
Bagatelle	NN	Bagatelle
war	VAFIN	sein
,	$,	,
nur	ADV	nur
nicht	PTKNEG	nicht
so	ADV	so
hoch	ADJD	hoch
und	KON	und
gefällig	ADJD	gefällig
hingebaut	VVPP	hinbauen
wie	KON	wie
ein	ART	ein
Palü	NE	Palü
.	$.	.
<s lang="de" n="1-53">
Klucker	NE	Klucker
sehnte	VVFIN	sehnen
sich	PRF	er|es|sie
nach	APPR	nach
wagemutigen	ADJA	wagemutig
Bergsteigern	NN	Bergsteiger
,	$,	,
die	PRELS	d
ihn	PPER	er
vielleicht	ADV	vielleicht
auch	ADV	auch
in	APPR	in
fremde	ADJA	fremd
Gebirge	NN	Gebirge
mitnahmen	VVFIN	mitnehmen
,	$,	,
wie	KOUS	wie
viele	PIAT	viel
Engländer	NN	Engländer
es	PPER	es
taten	VVFIN	tun
.	$.	.
<s lang="de" n="1-54">
Seine	PPOSAT	sein
Sehnsucht	NN	Sehnsucht
erfüllte	VVFIN	erfüllen
sich	PRF	er|es|sie
,	$,	,
aber	KON	aber
die	ART	d
Erfüllung	NN	Erfüllung
war	VAFIN	sein
nicht	PTKNEG	nicht
nur	ADV	nur
Freude	NN	Freude
und	KON	und
Stolz	NN	Stolz
,	$,	,
sondern	KON	sondern
auch	ADV	auch
Enttäuschung	NN	Enttäuschung
und	KON	und
Schmerz	NN	Schmerz
.	$.	.
<s lang="de" n="1-55">
Der	ART	d
Anteil	NN	Anteil
des	ART	d
Führers	NN	Führer
in	APPR	in
der	ART	d
Geschichte	NN	Geschichte
der	ART	d
Erschliessung	NN	Erschliessung
der	ART	d
Hochalpen	NN	Hochalp
ist	VAFIN	sein
ohne	APPR	ohne
Zweifel	NN	Zweifel
viel	ADV	viel
grösser	ADJD	gross
,	$,	,
als	KOUS	als
gemeinhin	ADV	gemeinhin
geglaubt	VVPP	glauben
wird	VAFIN	werden
.	$.	.
<s lang="de" n="1-56">
Gar	ADV	gar
nicht	PTKNEG	nicht
selten	ADJD	selten
in	APPR	in
der	ART	d
alpinen	ADJA	alpin
Literatur	NN	Literatur
wird	VAFIN	werden
der	ART	d
Führer	NN	Führer
erst	ADV	erst
in	APPR	in
zweiter	ADJA	zweit
Linie	NN	Linie
genannt	VVPP	nennen
,	$,	,
auch	ADV	auch
gar	ADV	gar
nicht	PTKNEG	nicht
,	$,	,
während	KOUS	während
der	ART	d
Gefährte	NN	Gefährte
,	$,	,
also	ADV	also
der	ART	d
Herr	NN	Herr
,	$,	,
als	KOUS	als
der	ART	d
Mann	NN	Mann
gilt	VVFIN	gelten
,	$,	,
der	PRELS	d
den	ART	d
Lorbeer	NN	Lorbeer
des	ART	d
Siegers	NN	Sieger
verdiente	VVFIN	verdienen
.	$.	.
<s lang="de" n="1-57">
Und	KON	und
doch	ADV	doch
könnte	VMFIN	können
mitunter	ADV	mitunter
auch	ADV	auch
nachgewiesen	VVPP	nachweisen
werden	VAINF	werden
,	$,	,
wer	PWS	wer
in	APPR	in
Tat	NN	Tat
und	KON	und
Wahrheit	NN	Wahrheit
die	ART	d
noch	ADV	noch
unbetretenen	ADJA	unbetreten
Joche	NN	Joch
und	KON	und
Grate	NN	Grat
und	KON	und
Gipfel	NN	Gipfel
besser	ADJD	gut
gekannt	VVPP	kennen
,	$,	,
wer	PWS	wer
den	ART	d
ersten	ADJA	erst
Angriff	NN	Angriff
ausgedacht	VVPP	ausdenken
und	KON	und
wer	PWS	wer
den	ART	d
Angriff	NN	Angriff
durchgeführt	VVPP	durchführen
hat	VAFIN	haben
,	$,	,
nämlich	ADV	nämlich
der	ART	d
Führer	NN	Führer
und	KON	und
nicht	PTKNEG	nicht
der	ART	d
geführte	ADJA	geführt
Herr	NN	Herr
.	$.	.
<s lang="de" n="1-58">
Mancher	ADJA	unk
Führer	NN	Führer
bekam	VVFIN	bekommen
die	ART	d
Angaben	NN	Angabe
seiner	PPOSAT	sein
Herren	NN	Herr
nicht	PTKNEG	nicht
zu	PTKZU	zu
lesen	VVINF	lesen
,	$,	,
wusste	VVFIN	wissen
also	ADV	also
gar	ADV	gar
nicht	PTKNEG	nicht
,	$,	,
was	PRELS	was
von	APPR	von
seinem	PPOSAT	sein
Anteil	NN	Anteil
am	APPRART	am
Gelingen	NN	Gelingen
geschrieben	VVPP	schreiben
stand	VVFIN	stehen
,	$,	,
und	KON	und
konnte	VMFIN	können
daher	PAV	daher
Ungenaues	NN	Ungenau
und	KON	und
Irrtümer	NN	Irrtum
nicht	PTKNEG	nicht
korrigieren	VVINF	korrigieren
.	$.	.
<s lang="de" n="1-59">
Dabei	PAV	dabei
handelt	VVFIN	handeln
es	PPER	es
sich	PRF	er|es|sie
sowohl	KON	sowohl
um	APPR	um
die	ART	d
Beschreibung	NN	Beschreibung
des	ART	d
Weges	NN	Weg
als	KON	als
um	APPR	um
das	ART	d
ureigene	ADJA	ureigen
Verhalten	NN	Verhalten
der	ART	d
Teilnehmer	NN	Teilnehmer
während	APPR	während
des	ART	d
Kampfes	NN	Kampf
mit	APPR	mit
dem	ART	d
Berg	NN	Berg
.	$.	.
<s lang="de" n="1-60">
Das	ART	d
Verhältnis	NN	Verhältnis
Herr	NN	Herr
und	KON	und
Führer	NN	Führer
ist	VAFIN	sein
nicht	PTKNEG	nicht
einfach	ADJD	einfach
das	ART	d
Verhältnis	NN	Verhältnis
Arbeitgeber	NN	Arbeitgeber
und	KON	und
Arbeitnehmer	NN	Arbeitnehmer
.	$.	.
<s lang="de" n="1-61">
Sobald	KOUS	sobald
das	ART	d
Seil	NN	Seil
umgelegt	VVPP	umlegen
wird	VAFIN	werden
,	$,	,
entsteht	VVFIN	entstehen
ein	ART	ein
Band	NN	Band
,	$,	,
das	PRELS	d
Herr	NN	Herr
und	KON	und
Führer	NN	Führer
auf	APPR	auf
Leben	NN	Leben
und	KON	und
Tod	NN	Tod
verknüpft	VVPP	verknüpfen
.	$.	.
<s lang="de" n="1-62">
Und	KON	und
tritt	VVFIN	ein+treten
dann	ADV	dann
der	PDS	d
gar	ADV	gar
nicht	PTKNEG	nicht
seltene	ADJA	selten
Fall	NN	Fall
ein	PTKVZ	ein
,	$,	,
dass	KOUS	dass
der	ART	d
Herr	NN	Herr
nur	ADV	nur
mit	APPR	mit
Hilfe	NN	Hilfe
des	ART	d
vorangehenden	ADJA	vorangehend
Führers	NN	Führer
eine	ART	ein
schwierige	ADJA	schwierig
Stelle	NN	Stelle
überwindet	VVFIN	überwinden
oder	KON	oder
dass	KOUS	dass
Schneesturm	NE	Schneesturm
,	$,	,
Nebel	NN	Nebel
,	$,	,
Lawinen	NN	Lawine
und	KON	und
Steinschlag	NN	Steinschlag
Herr	NN	Herr
und	KON	und
Führer	NN	Führer
bedrohen	VVINF	bedrohen
,	$,	,
der	ART	d
Führer	NN	Führer
aber	KON	aber
den	ART	d
Kopf	NN	Kopf
oben	ADV	oben
behält	VVFIN	behalten
,	$,	,
dann	ADV	dann
ist	VAFIN	sein
für	ADV	für
einen	ART	ein
ehrlichen	ADJA	ehrlich
und	KON	und
feinfühligen	ADJA	feinfühlig
Herrn	NN	Herr
der	ART	d
Augenblick	NN	Augenblick
gekommen	VVPP	kommen
,	$,	,
den	ART	d
Herrn	NN	Herr
abzulegen	VVIZU	ablegen
und	KON	und
im	APPRART	im
Führer	NN	Führer
den	ART	d
Mann	NN	Mann
und	KON	und
Freund	NN	Freund
,	$,	,
ja	ADV	ja
sogar	ADV	sogar
den	ART	d
Überlegenen	ADJA	überlegen
zu	PTKZU	zu
erkennen	VVINF	erkennen
.	$.	.
<s lang="de" n="1-63">
Christian	NE	Christian
Klucker	NE	Klucker
hat	VAFIN	haben
alles	PIS	alle
erfahren	ADJD	erfahren
als	KOKOM	als
Führer	NN	Führer
.	$.	.
<s lang="de" n="1-64">
Hier	ADV	hier
:	$.	:
<s lang="de" n="1-65">
herablassende	ADJA	herablassend
Behandlung	NN	Behandlung
,	$,	,
Verschweigen	NN	Verschweigen
oder	KON	oder
unrichtige	ADJA	unrichtig
Darstellung	NN	Darstellung
seines	PPOSAT	sein
Benehmens	NN	Benehmen
in	APPR	in
ernster	ADJA	ernst
Lage	NN	Lage
,	$,	,
Einschätzung	NN	Einschätzung
als	KON	als
gut	ADJA	gut
Bezahlter	NN	Bezahlte
,	$,	,
Ausnützung	NN	Ausnützung
als	KON	als
Kenner	NN	Kenner
und	KON	und
gutmütiger	ADJA	gutmütig
Ratgeber	NN	Ratgeber
.	$.	.
<s lang="de" n="1-66">
Dort	ADV	dort
:	$.	:
<s lang="de" n="1-67">
Lob	NN	Lob
seines	PPOSAT	sein
