  i,    x_i,    y_i
204, 2.5635, 0.5464
205, 2.5761, 0.5358
206, 2.5887, 0.5252
207, 2.6012, 0.5144
208, 2.6138, 0.5036
209, 2.6264, 0.4927
210, 2.6389, 0.4818
211, 2.6515, 0.4707
212, 2.6641, 0.4596
213, 2.6766, 0.4484
214, 2.6892, 0.4371
215, 2.7018, 0.4258
216, 2.7143, 0.4144
217, 2.7269, 0.4029
218, 2.7395, 0.3914
219, 2.7520, 0.3798
220, 2.7646, 0.3681
221, 2.7772, 0.3564
222, 2.7897, 0.3446
223, 2.8023, 0.3328
224, 2.8149, 0.3209
225, 2.8274, 0.3090
226, 2.8400, 0.2970
227, 2.8526, 0.2850
228, 2.8651, 0.2730
229, 2.8777, 0.2608
230, 2.8903, 0.2487
231, 2.9028, 0.2365
232, 2.9154, 0.2243
233, 2.9280, 0.2120
234, 2.9405, 0.1997
235, 2.9531, 0.1874
236, 2.9657, 0.1750
237, 2.9782, 0.1626
238, 2.9908, 0.1502
239, 3.0034, 0.1378
240, 3.0159, 0.1253
241, 3.0285, 0.1129
242, 3.0411, 0.1004
243, 3.0536, 0.0879
244, 3.0662, 0.0753
245, 3.0788, 0.0628
246, 3.0913, 0.0502
247, 3.1039, 0.0377
248, 3.1165, 0.0251
249, 3.1290, 0.0126
250, 3.1416, 0.0000
251, 3.1542, -0.0126
252, 3.1667, -0.0251
253, 3.1793, -0.0377
254, 3.1919, -0.0502
255, 3.2044, -0.0628
256, 3.2170, -0.0753
257, 3.2296, -0.0879
258, 3.2421, -0.1004
259, 3.2547, -0.1129
260, 3.2673, -0.1253
261, 3.2798, -0.1378
262, 3.2924, -0.1502
263, 3.3050, -0.1626
264, 3.3175, -0.1750
265, 3.3301, -0.1874
266, 3.3427, -0.1997
267, 3.3552, -0.2120
268, 3.3678, -0.2243
269, 3.3804, -0.2365
270, 3.3929, -0.2487
271, 3.4055, -0.2608
272, 3.4181, -0.2730
273, 3.4306, -0.2850
274, 3.4432, -0.2970
275, 3.4558, -0.3090
276, 3.4683, -0.3209
277, 3.4809, -0.3328
278, 3.4935, -0.3446
279, 3.5060, -0.3564
280, 3.5186, -0.3681
281, 3.5312, -0.3798
282, 3.5437, -0.3914
283, 3.5563, -0.4029
284, 3.5688, -0.4144
285, 3.5814, -0.4258
286, 3.5940, -0.4371
287, 3.6065, -0.4484
288, 3.6191, -0.4596
289, 3.6317, -0.4707
290, 3.6442, -0.4818
291, 3.6568, -0.4927
292, 3.6694, -0.5036
293, 3.6819, -0.5144
294, 3.6945, -0.5252
295, 3.7071, -0.5358
296, 3.7196, -0.5464
297, 3.7322, -0.5569
298, 3.7448, -0.5673
299, 3.7573, -0.5776
300, 3.7699, -0.5878
301, 3.7825, -0.5979
302, 3.7950, -0.6079
303, 3.8076, -0.6179
304, 3.8202, -0.6277
305, 3.8327, -0.6374
306, 3.8453, -0.6471
307, 3.8579, -0.6566
308, 3.8704, -0.6660
309, 3.8830, -0.6753
310, 3.8956, -0.6845
311, 3.9081, -0.6937
312, 3.9207, -0.7026
313, 3.9333, -0.7115
314, 3.9458, -0.7203
315, 3.9584, -0.7290
316, 3.9710, -0.7375
317, 3.9835, -0.7459
318, 3.9961, -0.7543
319, 4.0087, -0.7624
320, 4.0212, -0.7705
321, 4.0338, -0.7785
322, 4.0464, -0.7863
323, 4.0589, -0.7940
324, 4.0715, -0.8016
325, 4.0841, -0.8090
326, 4.0966, -0.8163
327, 4.1092, -0.8235
328, 4.1218, -0.8306
329, 4.1343, -0.8375
330, 4.1469, -0.8443
331, 4.1595, -0.8510
332, 4.1720, -0.8575
333, 4.1846, -0.8639
334, 4.1972, -0.8702
335, 4.2097, -0.8763
336, 4.2223, -0.8823
337, 4.2349, -0.8881
338, 4.2474, -0.8938
339, 4.2600, -0.8994
340, 4.2726, -0.9048
341, 4.2851, -0.9101
342, 4.2977, -0.9152
343, 4.3103, -0.9202
344, 4.3228, -0.9251
345, 4.3354, -0.9298
346, 4.3480, -0.9343
347, 4.3605, -0.9387
348, 4.3731, -0.9430
349, 4.3857, -0.9471
350, 4.3982, -0.9511
351, 4.4108, -0.9549
352, 4.4234, -0.9585
353, 4.4359, -0.9620
354, 4.4485, -0.9654
355, 4.4611, -0.9686
356, 4.4736, -0.9716
357, 4.4862, -0.9745
358, 4.4988, -0.9773
359, 4.5113, -0.9799
360, 4.5239, -0.9823
361, 4.5365, -0.9846
362, 4.5490, -0.9867
363, 4.5616, -0.9887
364, 4.5742, -0.9905
365, 4.5867, -0.9921
366, 4.5993, -0.9936
367, 4.6119, -0.9950
368, 4.6244, -0.9961
369, 4.6370, -0.9972
370, 4.6496, -0.9980
371, 4.6621, -0.9987
372, 4.6747, -0.9993
373, 4.6873, -0.9997
374, 4.6998, -0.9999
375, 4.7124, -1.0000
376, 4.7250, -0.9999
377, 4.7375, -0.9997
378, 4.7501, -0.9993
379, 4.7627, -0.9987
380, 4.7752, -0.9980
381, 4.7878, -0.9972
382, 4.8004, -0.9961
383, 4.8129, -0.9950
384, 4.8255, -0.9936
385, 4.8381, -0.9921
386, 4.8506, -0.9905
387, 4.8632, -0.9887
388, 4.8758, -0.9867
389, 4.8883, -0.9846
390, 4.9009, -0.9823
391, 4.9135, -0.9799
392, 4.9260, -0.9773
393, 4.9386, -0.9745
394, 4.9512, -0.9716
395, 4.9637, -0.9686
396, 4.9763, -0.9654
397, 4.9888, -0.9620
398, 5.0014, -0.9585
399, 5.0140, -0.9549
400, 5.0265, -0.9511
401, 5.0391, -0.9471
402, 5.0517, -0.9430
403, 5.0642, -0.9387
404, 5.0768, -0.9343
405, 5.0894, -0.9298
406, 5.1019, -0.9251
407, 5.1145, -0.9202
408, 5.1271, -0.9152
409, 5.1396, -0.9101
410, 5.1522, -0.9048
411, 5.1648, -0.8994
412, 5.1773, -0.8938
413, 5.1899, -0.8881
414, 5.2025, -0.8823
415, 5.2150, -0.8763
416, 5.2276, -0.8702
417, 5.2402, -0.8639
418, 5.2527, -0.8575
419, 5.2653, -0.8510
420, 5.2779, -0.8443
421, 5.2904, -0.8375
422, 5.3030, -0.8306
423, 5.3156, -0.8235
424, 5.3281, -0.8163
425, 5.3407, -0.8090
426, 5.3533, -0.8016
427, 5.3658, -0.7940
428, 5.3784, -0.7863
429, 5.3910, -0.7785
430, 5.4035, -0.7705
431, 5.4161, -0.7624
432, 5.4287, -0.7543
433, 5.4412, -0.7459
434, 5.4538, -0.7375
435, 5.4664, -0.7290
436, 5.4789, -0.7203
437, 5.4915, -0.7115
438, 5.5041, -0.7026
439, 5.5166, -0.6937
440, 5.5292, -0.6845
441, 5.5418, -0.6753
442, 5.5543, -0.6660
443, 5.5669, -0.6566
444, 5.5795, -0.6471
445, 5.5920, -0.6374
446, 5.6046, -0.6277
447, 5.6172, -0.6179
448, 5.6297, -0.6079
449, 5.6423, -0.5979
450, 5.6549, -0.5878
451, 5.6674, -0.5776
452, 5.6800, -0.5673
453, 5.6926, -0.5569
454, 5.7051, -0.5464
455, 5.7177, -0.5358
456, 5.7303, -0.5252
457, 5.7428, -0.5144
458, 5.7554, -0.5036
459, 5.7680, -0.4927
460, 5.7805, -0.4818
461, 5.7931, -0.4707
462, 5.8057, -0.4596
463, 5.8182, -0.4484
464, 5.8308, -0.4371
465, 5.8434, -0.4258
466, 5.8559, -0.4144
467, 5.8685, -0.4029
468, 5.8811, -0.3914
469, 5.8936, -0.3798
470, 5.9062, -0.3681
471, 5.9188, -0.3564
472, 5.9313, -0.3446
473, 5.9439, -0.3328
474, 5.9565, -0.3209
475, 5.9690, -0.3090
476, 5.9816, -0.2970
477, 5.9942, -0.2850
478, 6.0067, -0.2730
479, 6.0193, -0.2608
480, 6.0319, -0.2487
481, 6.0444, -0.2365
482, 6.0570, -0.2243
483, 6.0696, -0.2120
484, 6.0821, -0.1997
485, 6.0947, -0.1874
486, 6.1073, -0.1750
487, 6.1198, -0.1626
488, 6.1324, -0.1502
489, 6.1450, -0.1378
490, 6.1575, -0.1253
491, 6.1701, -0.1129
492, 6.1827, -0.1004
493, 6.1952, -0.0879
494, 6.2078, -0.0753
495, 6.2204, -0.0628
496, 6.2329, -0.0502
497, 6.2455, -0.0377
498, 6.2581, -0.0251
499, 6.2706, -0.0126
500, 6.2832, -0.0000
