   t_n,    f_n
1.1211, 5.3261
1.1256, 5.3136
1.1301, 5.3006
1.1346, 5.2870
1.1391, 5.2730
1.1436, 5.2585
1.1481, 5.2436
1.1526, 5.2283
1.1571, 5.2126
1.1616, 5.1967
1.1661, 5.1804
1.1706, 5.1639
1.1751, 5.1472
1.1796, 5.1303
1.1841, 5.1132
1.1886, 5.0961
1.1931, 5.0788
1.1976, 5.0616
1.2021, 5.0443
1.2066, 5.0271
1.2111, 5.0099
1.2156, 4.9928
1.2201, 4.9759
1.2246, 4.9592
1.2291, 4.9426
1.2336, 4.9263
1.2381, 4.9103
1.2426, 4.8945
1.2471, 4.8791
1.2516, 4.8640
1.2561, 4.8494
1.2606, 4.8351
1.2651, 4.8213
1.2696, 4.8079
1.2741, 4.7950
1.2786, 4.7826
1.2831, 4.7708
1.2876, 4.7595
1.2921, 4.7488
1.2966, 4.7386
1.3012, 4.7291
1.3057, 4.7202
1.3102, 4.7119
1.3147, 4.7043
1.3192, 4.6973
1.3237, 4.6910
1.3282, 4.6854
1.3327, 4.6804
1.3372, 4.6761
1.3417, 4.6725
1.3462, 4.6696
1.3507, 4.6674
1.3552, 4.6659
1.3597, 4.6651
1.3642, 4.6650
1.3687, 4.6655
1.3732, 4.6667
1.3777, 4.6686
1.3822, 4.6712
1.3867, 4.6744
1.3912, 4.6782
1.3957, 4.6827
1.4002, 4.6878
1.4047, 4.6935
1.4092, 4.6997
1.4137, 4.7065
1.4182, 4.7139
1.4227, 4.7218
1.4272, 4.7302
1.4317, 4.7391
1.4362, 4.7485
1.4407, 4.7583
1.4452, 4.7685
1.4497, 4.7791
1.4542, 4.7901
1.4587, 4.8015
1.4632, 4.8132
1.4677, 4.8251
1.4722, 4.8374
1.4767, 4.8498
1.4812, 4.8625
1.4857, 4.8754
1.4902, 4.8884
1.4947, 4.9016
1.4992, 4.9149
1.5038, 4.9283
1.5083, 4.9417
1.5128, 4.9551
1.5173, 4.9685
1.5218, 4.9819
1.5263, 4.9952
1.5308, 5.0085
1.5353, 5.0216
1.5398, 5.0346
1.5443, 5.0475
1.5488, 5.0601
1.5533, 5.0725
1.5578, 5.0847
1.5623, 5.0967
1.5668, 5.1083
1.5713, 5.1197
1.5758, 5.1307
1.5803, 5.1414
1.5848, 5.1517
1.5893, 5.1616
1.5938, 5.1711
1.5983, 5.1803
1.6028, 5.1889
1.6073, 5.1972
1.6118, 5.2050
1.6163, 5.2123
1.6208, 5.2191
1.6253, 5.2254
1.6298, 5.2312
1.6343, 5.2366
1.6388, 5.2414
1.6433, 5.2456
1.6478, 5.2494
1.6523, 5.2526
1.6568, 5.2552
1.6613, 5.2574
1.6658, 5.2590
1.6703, 5.2600
1.6748, 5.2605
1.6793, 5.2605
1.6838, 5.2600
1.6883, 5.2589
1.6928, 5.2573
1.6973, 5.2552
1.7019, 5.2526
1.7064, 5.2495
1.7109, 5.2460
1.7154, 5.2419
1.7199, 5.2374
1.7244, 5.2324
1.7289, 5.2270
1.7334, 5.2212
1.7379, 5.2149
1.7424, 5.2083
1.7469, 5.2013
1.7514, 5.1940
1.7559, 5.1863
1.7604, 5.1782
1.7649, 5.1699
1.7694, 5.1613
1.7739, 5.1524
1.7784, 5.1433
1.7829, 5.1339
1.7874, 5.1244
1.7919, 5.1146
1.7964, 5.1047
1.8009, 5.0947
1.8054, 5.0845
1.8099, 5.0742
1.8144, 5.0639
1.8189, 5.0535
1.8234, 5.0431
1.8279, 5.0326
1.8324, 5.0222
1.8369, 5.0118
1.8414, 5.0014
1.8459, 4.9911
1.8504, 4.9809
1.8549, 4.9708
1.8594, 4.9609
1.8639, 4.9511
1.8684, 4.9415
1.8729, 4.9320
1.8774, 4.9228
1.8819, 4.9138
1.8864, 4.9050
1.8909, 4.8965
1.8954, 4.8883
1.8999, 4.8803
1.9045, 4.8726
1.9090, 4.8653
1.9135, 4.8583
1.9180, 4.8516
1.9225, 4.8453
1.9270, 4.8393
1.9315, 4.8337
1.9360, 4.8285
1.9405, 4.8236
1.9450, 4.8192
1.9495, 4.8151
1.9540, 4.8115
1.9585, 4.8083
1.9630, 4.8055
1.9675, 4.8031
1.9720, 4.8011
1.9765, 4.7995
1.9810, 4.7984
1.9855, 4.7976
1.9900, 4.7973
1.9945, 4.7974
1.9990, 4.7979
2.0035, 4.7989
2.0080, 4.8002
2.0125, 4.8019
2.0170, 4.8040
2.0215, 4.8065
2.0260, 4.8094
2.0305, 4.8126
2.0350, 4.8162
2.0395, 4.8201
2.0440, 4.8244
2.0485, 4.8290
2.0530, 4.8339
2.0575, 4.8392
2.0620, 4.8447
2.0665, 4.8505
2.0710, 4.8565
2.0755, 4.8628
2.0800, 4.8693
2.0845, 4.8761
2.0890, 4.8830
2.0935, 4.8902
2.0980, 4.8975
2.1026, 4.9049
2.1071, 4.9126
2.1116, 4.9203
2.1161, 4.9281
2.1206, 4.9360
2.1251, 4.9440
2.1296, 4.9521
2.1341, 4.9602
2.1386, 4.9683
2.1431, 4.9764
2.1476, 4.9846
2.1521, 4.9926
2.1566, 5.0007
2.1611, 5.0087
2.1656, 5.0166
2.1701, 5.0244
2.1746, 5.0321
2.1791, 5.0397
2.1836, 5.0472
2.1881, 5.0545
2.1926, 5.0616
2.1971, 5.0686
2.2016, 5.0754
2.2061, 5.0819
2.2106, 5.0883
2.2151, 5.0944
2.2196, 5.1003
2.2241, 5.1060
2.2286, 5.1114
2.2331, 5.1165
2.2376, 5.1214
2.2421, 5.1260
2.2466, 5.1303
2.2511, 5.1343
2.2556, 5.1380
2.2601, 5.1414
2.2646, 5.1444
2.2691, 5.1472
2.2736, 5.1496
2.2781, 5.1517
2.2826, 5.1535
2.2871, 5.1550
2.2916, 5.1562
2.2961, 5.1570
2.3007, 5.1575
2.3052, 5.1576
2.3097, 5.1575
2.3142, 5.1570
2.3187, 5.1562
2.3232, 5.1551
2.3277, 5.1537
2.3322, 5.1520
2.3367, 5.1500
2.3412, 5.1477
2.3457, 5.1452
2.3502, 5.1423
2.3547, 5.1392
2.3592, 5.1358
2.3637, 5.1322
2.3682, 5.1283
2.3727, 5.1242
2.3772, 5.1198
2.3817, 5.1153
2.3862, 5.1105
2.3907, 5.1056
2.3952, 5.1005
2.3997, 5.0952
2.4042, 5.0898
2.4087, 5.0842
2.4132, 5.0785
2.4177, 5.0726
2.4222, 5.0667
2.4267, 5.0607
2.4312, 5.0545
2.4357, 5.0484
2.4402, 5.0421
2.4447, 5.0359
2.4492, 5.0296
2.4537, 5.0232
2.4582, 5.0169
2.4627, 5.0106
2.4672, 5.0043
2.4717, 4.9981
2.4762, 4.9919
2.4807, 4.9858
2.4852, 4.9797
2.4897, 4.9737
2.4942, 4.9678
2.4987, 4.9620
2.5033, 4.9564
2.5078, 4.9509
2.5123, 4.9455
2.5168, 4.9402
2.5213, 4.9352
2.5258, 4.9302
2.5303, 4.9255
2.5348, 4.9210
2.5393, 4.9166
2.5438, 4.9124
2.5483, 4.9085
2.5528, 4.9048
2.5573, 4.9013
2.5618, 4.8980
2.5663, 4.8949
2.5708, 4.8921
2.5753, 4.8895
2.5798, 4.8872
2.5843, 4.8851
2.5888, 4.8832
2.5933, 4.8816
2.5978, 4.8803
2.6023, 4.8792
2.6068, 4.8784
2.6113, 4.8778
2.6158, 4.8775
2.6203, 4.8774
2.6248, 4.8776
2.6293, 4.8780
2.6338, 4.8787
2.6383, 4.8796
2.6428, 4.8807
2.6473, 4.8821
2.6518, 4.8837
2.6563, 4.8855
2.6608, 4.8876
2.6653, 4.8898
2.6698, 4.8923
2.6743, 4.8950
2.6788, 4.8979
2.6833, 4.9009
2.6878, 4.9042
2.6923, 4.9076
2.6968, 4.9111
2.7014, 4.9149
2.7059, 4.9187
2.7104, 4.9227
2.7149, 4.9269
2.7194, 4.9311
2.7239, 4.9355
2.7284, 4.9400
2.7329, 4.9445
2.7374, 4.9492
2.7419, 4.9539
2.7464, 4.9586
2.7509, 4.9635
2.7554, 4.9683
2.7599, 4.9732
2.7644, 4.9781
2.7689, 4.9830
2.7734, 4.9879
2.7779, 4.9928
2.7824, 4.9977
2.7869, 5.0026
2.7914, 5.0074
2.7959, 5.0121
2.8004, 5.0168
2.8049, 5.0215
2.8094, 5.0260
2.8139, 5.0305
2.8184, 5.0349
2.8229, 5.0392
2.8274, 5.0433
2.8319, 5.0474
2.8364, 5.0513
2.8409, 5.0551
2.8454, 5.0587
2.8499, 5.0622
2.8544, 5.0656
2.8589, 5.0688
2.8634, 5.0718
2.8679, 5.0747
2.8724, 5.0774
2.8769, 5.0799
2.8814, 5.0822
2.8859, 5.0844
2.8904, 5.0864
2.8949, 5.0881
2.8994, 5.0897
2.9040, 5.0911
2.9085, 5.0923
2.9130, 5.0933
2.9175, 5.0941
2.9220, 5.0947
2.9265, 5.0951
2.9310, 5.0953
2.9355, 5.0953
2.9400, 5.0952
2.9445, 5.0948
2.9490, 5.0942
2.9535, 5.0935
2.9580, 5.0926
2.9625, 5.0915
2.9670, 5.0902
2.9715, 5.0887
2.9760, 5.0871
2.9805, 5.0853
2.9850, 5.0833
2.9895, 5.0812
2.9940, 5.0789
2.9985, 5.0765
3.0030, 5.0740
3.0075, 5.0713
3.0120, 5.0685
3.0165, 5.0656
3.0210, 5.0625
3.0255, 5.0594
3.0300, 5.0561
3.0345, 5.0528
3.0390, 5.0494
3.0435, 5.0459
3.0480, 5.0423
3.0525, 5.0387
3.0570, 5.0351
3.0615, 5.0313
3.0660, 5.0276
3.0705, 5.0238
3.0750, 5.0200
3.0795, 5.0162
3.0840, 5.0124
3.0885, 5.0085
3.0930, 5.0047
3.0975, 5.0009
3.1021, 4.9972
3.1066, 4.9934
3.1111, 4.9897
3.1156, 4.9861
3.1201, 4.9825
3.1246, 4.9790
3.1291, 4.9755
3.1336, 4.9721
3.1381, 4.9688
3.1426, 4.9656
3.1471, 4.9625
3.1516, 4.9594
3.1561, 4.9565
3.1606, 4.9537
3.1651, 4.9510
3.1696, 4.9484
3.1741, 4.9460
3.1786, 4.9436
3.1831, 4.9414
3.1876, 4.9394
3.1921, 4.9374
3.1966, 4.9357
3.2011, 4.9340
3.2056, 4.9325
3.2101, 4.9312
3.2146, 4.9300
3.2191, 4.9289
3.2236, 4.9280
3.2281, 4.9273
3.2326, 4.9267
3.2371, 4.9263
3.2416, 4.9260
3.2461, 4.9258
3.2506, 4.9259
3.2551, 4.9260
3.2596, 4.9264
3.2641, 4.9268
3.2686, 4.9274
3.2731, 4.9282
3.2776, 4.9291
3.2821, 4.9301
3.2866, 4.9313
3.2911, 4.9326
3.2956, 4.9340
3.3002, 4.9356
3.3047, 4.9372
3.3092, 4.9390
3.3137, 4.9409
3.3182, 4.9429
3.3227, 4.9450
3.3272, 4.9472
3.3317, 4.9495
3.3362, 4.9519
3.3407, 4.9544
3.3452, 4.9569
3.3497, 4.9595
3.3542, 4.9622
3.3587, 4.9649
3.3632, 4.9677
3.3677, 4.9705
3.3722, 4.9734
3.3767, 4.9763
3.3812, 4.9792
3.3857, 4.9821
3.3902, 4.9851
3.3947, 4.9881
3.3992, 4.9910
3.4037, 4.9940
3.4082, 4.9970
3.4127, 4.9999
3.4172, 5.0028
3.4217, 5.0057
3.4262, 5.0086
3.4307, 5.0114
3.4352, 5.0142
3.4397, 5.0170
3.4442, 5.0196
3.4487, 5.0223
3.4532, 5.0248
3.4577, 5.0273
3.4622, 5.0297
3.4667, 5.0321
3.4712, 5.0343
3.4757, 5.0365
3.4802, 5.0386
3.4847, 5.0405
3.4892, 5.0424
3.4937, 5.0442
3.4982, 5.0459
3.5028, 5.0475
3.5073, 5.0490
3.5118, 5.0503
3.5163, 5.0516
3.5208, 5.0527
3.5253, 5.0538
3.5298, 5.0547
3.5343, 5.0554
3.5388, 5.0561
3.5433, 5.0567
3.5478, 5.0571
3.5523, 5.0574
3.5568, 5.0576
3.5613, 5.0577
3.5658, 5.0576
3.5703, 5.0575
3.5748, 5.0572
3.5793, 5.0568
3.5838, 5.0563
3.5883, 5.0557
3.5928, 5.0550
3.5973, 5.0542
3.6018, 5.0532
3.6063, 5.0522
3.6108, 5.0511
3.6153, 5.0498
3.6198, 5.0485
3.6243, 5.0471
3.6288, 5.0456
3.6333, 5.0440
3.6378, 5.0424
3.6423, 5.0407
3.6468, 5.0389
3.6513, 5.0370
3.6558, 5.0351
3.6603, 5.0331
3.6648, 5.0310
3.6693, 5.0290
3.6738, 5.0268
3.6783, 5.0247
3.6828, 5.0224
3.6873, 5.0202
3.6918, 5.0180
3.6963, 5.0157
3.7009, 5.0134
3.7054, 5.0111
3.7099, 5.0088
3.7144, 5.0065
3.7189, 5.0041
3.7234, 5.0018
3.7279, 4.9996
3.7324, 4.9973
3.7369, 4.9950
3.7414, 4.9928
3.7459, 4.9906
3.7504, 4.9885
3.7549, 4.9863
3.7594, 4.9843
3.7639, 4.9822
3.7684, 4.9803
3.7729, 4.9783
3.7774, 4.9765
3.7819, 4.9747
3.7864, 4.9729
3.7909, 4.9713
3.7954, 4.9697
3.7999, 4.9681
3.8044, 4.9667
3.8089, 4.9653
3.8134, 4.9640
3.8179, 4.9628
3.8224, 4.9617
3.8269, 4.9606
3.8314, 4.9597
3.8359, 4.9588
3.8404, 4.9580
3.8449, 4.9573
3.8494, 4.9568
3.8539, 4.9563
3.8584, 4.9558
3.8629, 4.9555
3.8674, 4.9553
3.8719, 4.9552
3.8764, 4.9551
3.8809, 4.9552
3.8854, 4.9553
3.8899, 4.9556
3.8944, 4.9559
3.8989, 4.9563
3.9035, 4.9568
3.9080, 4.9574
3.9125, 4.9580
3.9170, 4.9588
3.9215, 4.9596
3.9260, 4.9605
3.9305, 4.9615
3.9350, 4.9625
3.9395, 4.9636
3.9440, 4.9648
3.9485, 4.9660
3.9530, 4.9673
3.9575, 4.9687
3.9620, 4.9701
3.9665, 4.9716
3.9710, 4.9731
3.9755, 4.9746
3.9800, 4.9762
3.9845, 4.9778
3.9890, 4.9795
3.9935, 4.9812
3.9980, 4.9829
4.0025, 4.9847
4.0070, 4.9864
4.0115, 4.9882
4.0160, 4.9900
4.0205, 4.9918
4.0250, 4.9936
4.0295, 4.9954
4.0340, 4.9972
4.0385, 4.9990
4.0430, 5.0007
4.0475, 5.0025
4.0520, 5.0042
4.0565, 5.0060
4.0610, 5.0077
4.0655, 5.0093
4.0700, 5.0110
4.0745, 5.0126
4.0790, 5.0142
4.0835, 5.0157
4.0880, 5.0172
4.0925, 5.0186
4.0970, 5.0200
4.1016, 5.0213
4.1061, 5.0226
4.1106, 5.0239
4.1151, 5.0250
4.1196, 5.0262
4.1241, 5.0272
4.1286, 5.0282
4.1331, 5.0291
4.1376, 5.0300
4.1421, 5.0308
4.1466, 5.0315
4.1511, 5.0322
4.1556, 5.0328
4.1601, 5.0333
4.1646, 5.0337
4.1691, 5.0341
4.1736, 5.0344
4.1781, 5.0346
4.1826, 5.0348
4.1871, 5.0349
4.1916, 5.0349
4.1961, 5.0348
4.2006, 5.0347
4.2051, 5.0345
4.2096, 5.0342
4.2141, 5.0339
4.2186, 5.0335
4.2231, 5.0330
4.2276, 5.0325
4.2321, 5.0319
4.2366, 5.0313
4.2411, 5.0306
4.2456, 5.0298
4.2501, 5.0290
4.2546, 5.0281
4.2591, 5.0272
4.2636, 5.0262
4.2681, 5.0252
4.2726, 5.0241
4.2771, 5.0230
4.2816, 5.0219
4.2861, 5.0207
4.2906, 5.0195
4.2951, 5.0182
4.2996, 5.0169
4.3042, 5.0156
4.3087, 5.0143
4.3132, 5.0130
4.3177, 5.0116
4.3222, 5.0103
4.3267, 5.0089
4.3312, 5.0075
4.3357, 5.0061
4.3402, 5.0047
4.3447, 5.0033
4.3492, 5.0019
4.3537, 5.0005
4.3582, 4.9991
4.3627, 4.9978
4.3672, 4.9964
4.3717, 4.9951
4.3762, 4.9937
4.3807, 4.9925
4.3852, 4.9912
4.3897, 4.9899
4.3942, 4.9887
4.3987, 4.9875
4.4032, 4.9864
4.4077, 4.9853
4.4122, 4.9842
4.4167, 4.9832
4.4212, 4.9822
4.4257, 4.9812
4.4302, 4.9803
4.4347, 4.9795
4.4392, 4.9787
4.4437, 4.9779
4.4482, 4.9772
4.4527, 4.9765
4.4572, 4.9759
4.4617, 4.9754
4.4662, 4.9749
4.4707, 4.9744
4.4752, 4.9740
4.4797, 4.9737
4.4842, 4.9734
4.4887, 4.9732
4.4932, 4.9730
4.4977, 4.9729
4.5023, 4.9729
4.5068, 4.9729
4.5113, 4.9729
4.5158, 4.9730
4.5203, 4.9732
4.5248, 4.9734
4.5293, 4.9737
4.5338, 4.9740
4.5383, 4.9744
4.5428, 4.9748
4.5473, 4.9753
4.5518, 4.9758
4.5563, 4.9764
4.5608, 4.9770
4.5653, 4.9776
4.5698, 4.9783
4.5743, 4.9790
4.5788, 4.9798
4.5833, 4.9806
4.5878, 4.9814
4.5923, 4.9823
4.5968, 4.9832
4.6013, 4.9841
4.6058, 4.9851
4.6103, 4.9860
4.6148, 4.9870
4.6193, 4.9881
4.6238, 4.9891
4.6283, 4.9901
4.6328, 4.9912
4.6373, 4.9923
4.6418, 4.9933
4.6463, 4.9944
4.6508, 4.9955
4.6553, 4.9966
4.6598, 4.9977
4.6643, 4.9988
4.6688, 4.9998
4.6733, 5.0009
4.6778, 5.0020
4.6823, 5.0030
4.6868, 5.0041
4.6913, 5.0051
4.6958, 5.0061
4.7004, 5.0071
4.7049, 5.0080
4.7094, 5.0090
4.7139, 5.0099
4.7184, 5.0108
4.7229, 5.0116
4.7274, 5.0125
4.7319, 5.0133
4.7364, 5.0140
4.7409, 5.0148
4.7454, 5.0155
4.7499, 5.0161
4.7544, 5.0167
4.7589, 5.0173
4.7634, 5.0179
4.7679, 5.0184
4.7724, 5.0188
4.7769, 5.0193
4.7814, 5.0196
4.7859, 5.0200
4.7904, 5.0203
4.7949, 5.0205
4.7994, 5.0207
4.8039, 5.0209
4.8084, 5.0210
4.8129, 5.0211
4.8174, 5.0211
4.8219, 5.0211
4.8264, 5.0210
4.8309, 5.0209
4.8354, 5.0208
4.8399, 5.0206
4.8444, 5.0204
4.8489, 5.0202
4.8534, 5.0199
4.8579, 5.0195
4.8624, 5.0191
4.8669, 5.0187
4.8714, 5.0183
4.8759, 5.0178
4.8804, 5.0173
4.8849, 5.0168
4.8894, 5.0162
4.8939, 5.0156
4.8984, 5.0149
4.9030, 5.0143
4.9075, 5.0136
4.9120, 5.0129
4.9165, 5.0122
4.9210, 5.0114
4.9255, 5.0107
4.9300, 5.0099
4.9345, 5.0091
4.9390, 5.0083
4.9435, 5.0075
4.9480, 5.0067
4.9525, 5.0058
4.9570, 5.0050
4.9615, 5.0041
4.9660, 5.0033
4.9705, 5.0025
4.9750, 5.0016
4.9795, 5.0008
4.9840, 4.9999
4.9885, 4.9991
4.9930, 4.9983
4.9975, 4.9975
5.0020, 4.9967
5.0065, 4.9959
5.0110, 4.9951
5.0155, 4.9943
5.0200, 4.9936
5.0245, 4.9929
5.0290, 4.9922
5.0335, 4.9915
5.0380, 4.9908
5.0425, 4.9902
5.0470, 4.9896
5.0515, 4.9890
5.0560, 4.9884
5.0605, 4.9879
5.0650, 4.9874
5.0695, 4.9869
5.0740, 4.9864
5.0785, 4.9860
5.0830, 4.9856
5.0875, 4.9853
5.0920, 4.9850
5.0965, 4.9847
5.1011, 4.9844
5.1056, 4.9842
5.1101, 4.9840
5.1146, 4.9839
5.1191, 4.9837
5.1236, 4.9837
5.1281, 4.9836
5.1326, 4.9836
5.1371, 4.9836
5.1416, 4.9836
5.1461, 4.9837
5.1506, 4.9838
5.1551, 4.9840
5.1596, 4.9842
5.1641, 4.9844
5.1686, 4.9846
5.1731, 4.9849
5.1776, 4.9852
5.1821, 4.9855
5.1866, 4.9859
5.1911, 4.9862
5.1956, 4.9866
5.2001, 4.9871
5.2046, 4.9875
5.2091, 4.9880
5.2136, 4.9885
5.2181, 4.9890
5.2226, 4.9895
5.2271, 4.9901
5.2316, 4.9906
5.2361, 4.9912
5.2406, 4.9918
5.2451, 4.9924
5.2496, 4.9931
5.2541, 4.9937
5.2586, 4.9943
5.2631, 4.9950
5.2676, 4.9956
5.2721, 4.9963
5.2766, 4.9969
5.2811, 4.9976
5.2856, 4.9982
5.2901, 4.9989
5.2946, 4.9995
5.2991, 5.0002
5.3037, 5.0008
5.3082, 5.0015
5.3127, 5.0021
5.3172, 5.0027
5.3217, 5.0033
5.3262, 5.0040
5.3307, 5.0045
5.3352, 5.0051
5.3397, 5.0057
5.3442, 5.0062
5.3487, 5.0068
5.3532, 5.0073
5.3577, 5.0078
5.3622, 5.0082
5.3667, 5.0087
5.3712, 5.0091
5.3757, 5.0095
5.3802, 5.0099
5.3847, 5.0103
5.3892, 5.0106
5.3937, 5.0109
5.3982, 5.0112
5.4027, 5.0115
5.4072, 5.0117
5.4117, 5.0120
5.4162, 5.0122
5.4207, 5.0123
5.4252, 5.0125
5.4297, 5.0126
5.4342, 5.0127
5.4387, 5.0127
5.4432, 5.0128
5.4477, 5.0128
5.4522, 5.0128
5.4567, 5.0127
5.4612, 5.0126
5.4657, 5.0125
5.4702, 5.0124
5.4747, 5.0123
5.4792, 5.0121
5.4837, 5.0119
5.4882, 5.0117
5.4927, 5.0115
5.4972, 5.0112
5.5018, 5.0109
5.5063, 5.0106
5.5108, 5.0103
5.5153, 5.0100
5.5198, 5.0096
5.5243, 5.0093
5.5288, 5.0089
5.5333, 5.0085
5.5378, 5.0080
5.5423, 5.0076
5.5468, 5.0072
5.5513, 5.0067
5.5558, 5.0063
5.5603, 5.0058
5.5648, 5.0053
5.5693, 5.0048
5.5738, 5.0043
5.5783, 5.0038
5.5828, 5.0033
5.5873, 5.0028
5.5918, 5.0023
5.5963, 5.0018
5.6008, 5.0013
5.6053, 5.0007
5.6098, 5.0002
5.6143, 4.9997
5.6188, 4.9992
5.6233, 4.9987
5.6278, 4.9982
5.6323, 4.9978
5.6368, 4.9973
5.6413, 4.9968
5.6458, 4.9964
5.6503, 4.9959
5.6548, 4.9955
5.6593, 4.9951
5.6638, 4.9947
5.6683, 4.9943
5.6728, 4.9939
5.6773, 4.9935
5.6818, 4.9932
5.6863, 4.9928
5.6908, 4.9925
5.6953, 4.9922
5.6998, 4.9919
5.7044, 4.9917
5.7089, 4.9914
5.7134, 4.9912
