     x_n,      y_n
0.198000, 0.345580
0.200000, 0.324468
0.202000, 0.302684
0.204000, 0.280627
0.206000, 0.258701
0.208000, 0.237306
0.210000, 0.216819
0.212000, 0.197576
0.214000, 0.179864
0.216000, 0.163906
0.218000, 0.149852
0.220000, 0.137776
0.222000, 0.127668
0.224000, 0.119441
0.226000, 0.112929
0.228000, 0.107895
0.230000, 0.104044
0.232000, 0.101031
0.234000, 0.098477
0.236000, 0.095983
0.238000, 0.093147
0.240000, 0.089582
0.242000, 0.084927
0.244000, 0.078867
0.246000, 0.071142
0.248000, 0.061559
0.250000, 0.050000
0.252000, 0.036427
0.254000, 0.020881
0.256000, 0.003486
0.258000, -0.015562
0.260000, -0.035999
0.262000, -0.057506
0.264000, -0.079719
0.266000, -0.102246
0.268000, -0.124681
0.270000, -0.146622
0.272000, -0.167686
0.274000, -0.187523
0.276000, -0.205833
0.278000, -0.222378
0.280000, -0.236987
0.282000, -0.249568
0.284000, -0.260108
0.286000, -0.268678
0.288000, -0.275422
0.290000, -0.280561
0.292000, -0.284377
0.294000, -0.287203
0.296000, -0.289412
0.298000, -0.291399
0.300000, -0.293566
0.302000, -0.296307
0.304000, -0.299990
0.306000, -0.304943
0.308000, -0.311442
0.310000, -0.319695
0.312000, -0.329842
0.314000, -0.341941
0.316000, -0.355970
0.318000, -0.371826
0.320000, -0.389331
0.322000, -0.408237
0.324000, -0.428238
0.326000, -0.448980
0.328000, -0.470076
0.330000, -0.491123
0.332000, -0.511716
0.334000, -0.531467
0.336000, -0.550016
0.338000, -0.567051
0.340000, -0.582316
0.342000, -0.595623
0.344000, -0.606860
0.346000, -0.615995
0.348000, -0.623078
0.350000, -0.628236
0.352000, -0.631672
0.354000, -0.633652
0.356000, -0.634501
0.358000, -0.634581
0.360000, -0.634284
0.362000, -0.634014
0.364000, -0.634167
0.366000, -0.635119
0.368000, -0.637211
0.370000, -0.640732
0.372000, -0.645910
0.374000, -0.652902
0.376000, -0.661788
0.378000, -0.672566
0.380000, -0.685153
0.382000, -0.699391
0.384000, -0.715048
0.386000, -0.731832
0.388000, -0.749400
0.390000, -0.767374
0.392000, -0.785352
0.394000, -0.802929
0.396000, -0.819712
0.398000, -0.835334
0.400000, -0.849468
0.402000, -0.861845
0.404000, -0.872259
0.406000, -0.880580
0.408000, -0.886756
0.410000, -0.890817
0.412000, -0.892871
0.414000, -0.893103
0.416000, -0.891767
0.418000, -0.889173
0.420000, -0.885676
0.422000, -0.881663
0.424000, -0.877536
0.426000, -0.873696
0.428000, -0.870527
0.430000, -0.868379
0.432000, -0.867556
0.434000, -0.868304
0.436000, -0.870799
0.438000, -0.875140
0.440000, -0.881347
0.442000, -0.889359
0.444000, -0.899034
0.446000, -0.910161
0.448000, -0.922462
0.450000, -0.935606
0.452000, -0.949222
0.454000, -0.962914
0.456000, -0.976279
0.458000, -0.988917
0.460000, -1.000454
0.462000, -1.010555
0.464000, -1.018934
0.466000, -1.025370
0.468000, -1.029713
0.470000, -1.031893
0.472000, -1.031919
0.474000, -1.029882
0.476000, -1.025949
0.478000, -1.020357
0.480000, -1.013404
0.482000, -1.005436
0.484000, -0.996836
0.486000, -0.988002
0.488000, -0.979338
0.490000, -0.971235
0.492000, -0.964054
0.494000, -0.958113
0.496000, -0.953673
0.498000, -0.950928
0.500000, -0.950000
0.502000, -0.950928
0.504000, -0.953673
0.506000, -0.958113
0.508000, -0.964054
0.510000, -0.971235
0.512000, -0.979338
0.514000, -0.988002
0.516000, -0.996836
0.518000, -1.005436
0.520000, -1.013404
0.522000, -1.020357
0.524000, -1.025949
0.526000, -1.029882
0.528000, -1.031919
0.530000, -1.031893
0.532000, -1.029713
0.534000, -1.025370
0.536000, -1.018934
0.538000, -1.010555
0.540000, -1.000454
0.542000, -0.988917
0.544000, -0.976279
0.546000, -0.962914
0.548000, -0.949222
0.550000, -0.935606
0.552000, -0.922462
0.554000, -0.910161
0.556000, -0.899034
0.558000, -0.889359
0.560000, -0.881347
0.562000, -0.875140
0.564000, -0.870799
0.566000, -0.868304
0.568000, -0.867556
0.570000, -0.868379
0.572000, -0.870527
0.574000, -0.873696
0.576000, -0.877536
0.578000, -0.881663
0.580000, -0.885676
0.582000, -0.889173
0.584000, -0.891767
0.586000, -0.893103
0.588000, -0.892871
0.590000, -0.890817
0.592000, -0.886756
0.594000, -0.880580
0.596000, -0.872259
0.598000, -0.861845
0.600000, -0.849468
0.602000, -0.835334
0.604000, -0.819712
0.606000, -0.802929
0.608000, -0.785352
0.610000, -0.767374
0.612000, -0.749400
0.614000, -0.731832
0.616000, -0.715048
0.618000, -0.699391
0.620000, -0.685153
0.622000, -0.672566
0.624000, -0.661788
0.626000, -0.652902
0.628000, -0.645910
0.630000, -0.640732
0.632000, -0.637211
0.634000, -0.635119
0.636000, -0.634167
0.638000, -0.634014
0.640000, -0.634284
0.642000, -0.634581
0.644000, -0.634501
0.646000, -0.633652
0.648000, -0.631672
0.650000, -0.628236
0.652000, -0.623078
0.654000, -0.615995
0.656000, -0.606860
0.658000, -0.595623
0.660000, -0.582316
0.662000, -0.567051
0.664000, -0.550016
0.666000, -0.531467
0.668000, -0.511716
0.670000, -0.491123
0.672000, -0.470076
0.674000, -0.448980
0.676000, -0.428238
0.678000, -0.408237
0.680000, -0.389331
0.682000, -0.371826
0.684000, -0.355970
0.686000, -0.341941
0.688000, -0.329842
0.690000, -0.319695
0.692000, -0.311442
0.694000, -0.304943
0.696000, -0.299990
0.698000, -0.296307
0.700000, -0.293566
0.702000, -0.291399
0.704000, -0.289412
0.706000, -0.287203
0.708000, -0.284377
0.710000, -0.280561
0.712000, -0.275422
0.714000, -0.268678
0.716000, -0.260108
0.718000, -0.249568
0.720000, -0.236987
0.722000, -0.222378
0.724000, -0.205833
0.726000, -0.187523
0.728000, -0.167686
0.730000, -0.146622
0.732000, -0.124681
0.734000, -0.102246
0.736000, -0.079719
0.738000, -0.057506
0.740000, -0.035999
0.742000, -0.015562
0.744000, 0.003486
0.746000, 0.020881
0.748000, 0.036427
0.750000, 0.050000
0.752000, 0.061559
0.754000, 0.071142
0.756000, 0.078867
0.758000, 0.084927
0.760000, 0.089582
0.762000, 0.093147
0.764000, 0.095983
0.766000, 0.098477
0.768000, 0.101031
0.770000, 0.104044
0.772000, 0.107895
0.774000, 0.112929
0.776000, 0.119441
0.778000, 0.127668
0.780000, 0.137776
0.782000, 0.149852
0.784000, 0.163906
0.786000, 0.179864
0.788000, 0.197576
0.790000, 0.216819
0.792000, 0.237306
0.794000, 0.258701
0.796000, 0.280627
0.798000, 0.302684
0.800000, 0.324468
0.802000, 0.345580
0.804000, 0.365649
0.806000, 0.384342
0.808000, 0.401382
0.810000, 0.416554
0.812000, 0.429716
0.814000, 0.440806
0.816000, 0.449843
0.818000, 0.456925
0.820000, 0.462228
0.822000, 0.465994
0.824000, 0.468529
0.826000, 0.470180
0.828000, 0.471332
0.830000, 0.472385
0.832000, 0.473738
0.834000, 0.475779
0.836000, 0.478863
0.838000, 0.483298
0.840000, 0.489338
0.842000, 0.497166
0.844000, 0.506891
0.846000, 0.518543
0.848000, 0.532067
0.850000, 0.547334
0.852000, 0.564138
0.854000, 0.582208
0.856000, 0.601219
0.858000, 0.620802
0.860000, 0.640564
0.862000, 0.660098
0.864000, 0.679005
0.866000, 0.696905
0.868000, 0.713455
0.870000, 0.728362
0.872000, 0.741397
0.874000, 0.752398
0.876000, 0.761283
0.878000, 0.768052
0.880000, 0.772784
0.882000, 0.775635
0.884000, 0.776834
0.886000, 0.776671
0.888000, 0.775485
0.890000, 0.773653
0.892000, 0.771573
0.894000, 0.769647
0.896000, 0.768268
0.898000, 0.767800
0.900000, 0.768566
0.902000, 0.770834
0.904000, 0.774806
0.906000, 0.780612
0.908000, 0.788300
0.910000, 0.797839
0.912000, 0.809118
0.914000, 0.821950
0.916000, 0.836080
0.918000, 0.851195
0.920000, 0.866938
0.922000, 0.882920
0.924000, 0.898737
0.926000, 0.913987
0.928000, 0.928284
0.930000, 0.941275
0.932000, 0.952656
0.934000, 0.962178
0.936000, 0.969664
0.938000, 0.975014
0.940000, 0.978206
0.942000, 0.979299
0.944000, 0.978433
0.946000, 0.975820
0.948000, 0.971735
0.950000, 0.966507
0.952000, 0.960507
0.954000, 0.954129
0.956000, 0.947777
0.958000, 0.941846
0.960000, 0.936712
0.962000, 0.932709
0.964000, 0.930120
0.966000, 0.929167
0.968000, 0.929997
0.970000, 0.932682
0.972000, 0.937209
0.974000, 0.943490
0.976000, 0.951355
0.978000, 0.960566
0.980000, 0.970826
0.982000, 0.981786
0.984000, 0.993067
0.986000, 1.004265
0.988000, 1.014979
0.990000, 1.024818
0.992000, 1.033420
0.994000, 1.040466
0.996000, 1.045696
0.998000, 1.048914
1.000000, 1.050000
1.002000, 1.048914
1.004000, 1.045696
1.006000, 1.040466
1.008000, 1.033420
1.010000, 1.024818
1.012000, 1.014979
1.014000, 1.004265
1.016000, 0.993067
1.018000, 0.981786
1.020000, 0.970826
1.022000, 0.960566
1.024000, 0.951355
1.026000, 0.943490
1.028000, 0.937209
1.030000, 0.932682
1.032000, 0.929997
1.034000, 0.929167
1.036000, 0.930120
1.038000, 0.932709
1.040000, 0.936712
1.042000, 0.941846
1.044000, 0.947777
1.046000, 0.954129
1.048000, 0.960507
1.050000, 0.966507
1.052000, 0.971735
1.054000, 0.975820
1.056000, 0.978433
1.058000, 0.979299
1.060000, 0.978206
1.062000, 0.975014
1.064000, 0.969664
1.066000, 0.962178
1.068000, 0.952656
1.070000, 0.941275
1.072000, 0.928284
1.074000, 0.913987
1.076000, 0.898737
1.078000, 0.882920
1.080000, 0.866938
1.082000, 0.851195
1.084000, 0.836080
1.086000, 0.821950
1.088000, 0.809118
1.090000, 0.797839
1.092000, 0.788300
1.094000, 0.780612
1.096000, 0.774806
1.098000, 0.770834
1.100000, 0.768566
1.102000, 0.767800
1.104000, 0.768268
1.106000, 0.769647
1.108000, 0.771573
1.110000, 0.773653
1.112000, 0.775485
1.114000, 0.776671
1.116000, 0.776834
1.118000, 0.775635
1.120000, 0.772784
1.122000, 0.768052
1.124000, 0.761283
1.126000, 0.752398
1.128000, 0.741397
1.130000, 0.728362
1.132000, 0.713455
1.134000, 0.696905
1.136000, 0.679005
1.138000, 0.660098
1.140000, 0.640564
1.142000, 0.620802
1.144000, 0.601219
1.146000, 0.582208
1.148000, 0.564138
1.150000, 0.547334
1.152000, 0.532067
1.154000, 0.518543
1.156000, 0.506891
1.158000, 0.497166
1.160000, 0.489338
1.162000, 0.483298
1.164000, 0.478863
1.166000, 0.475779
1.168000, 0.473738
1.170000, 0.472385
1.172000, 0.471332
1.174000, 0.470180
1.176000, 0.468529
1.178000, 0.465994
1.180000, 0.462228
1.182000, 0.456925
1.184000, 0.449843
1.186000, 0.440806
1.188000, 0.429716
1.190000, 0.416554
1.192000, 0.401382
1.194000, 0.384342
1.196000, 0.365649
1.198000, 0.345580
1.200000, 0.324468
1.202000, 0.302684
1.204000, 0.280627
1.206000, 0.258701
1.208000, 0.237306
1.210000, 0.216819
1.212000, 0.197576
1.214000, 0.179864
1.216000, 0.163906
1.218000, 0.149852
1.220000, 0.137776
1.222000, 0.127668
1.224000, 0.119441
1.226000, 0.112929
1.228000, 0.107895
1.230000, 0.104044
1.232000, 0.101031
1.234000, 0.098477
1.236000, 0.095983
1.238000, 0.093147
1.240000, 0.089582
1.242000, 0.084927
1.244000, 0.078867
1.246000, 0.071142
1.248000, 0.061559
1.250000, 0.050000
1.252000, 0.036427
1.254000, 0.020881
1.256000, 0.003486
1.258000, -0.015562
1.260000, -0.035999
1.262000, -0.057506
1.264000, -0.079719
1.266000, -0.102246
1.268000, -0.124681
1.270000, -0.146622
1.272000, -0.167686
1.274000, -0.187523
1.276000, -0.205833
1.278000, -0.222378
1.280000, -0.236987
1.282000, -0.249568
1.284000, -0.260108
1.286000, -0.268678
1.288000, -0.275422
1.290000, -0.280561
1.292000, -0.284377
1.294000, -0.287203
1.296000, -0.289412
1.298000, -0.291399
1.300000, -0.293566
1.302000, -0.296307
1.304000, -0.299990
1.306000, -0.304943
1.308000, -0.311442
1.310000, -0.319695
1.312000, -0.329842
1.314000, -0.341941
1.316000, -0.355970
1.318000, -0.371826
1.320000, -0.389331
1.322000, -0.408237
1.324000, -0.428238
1.326000, -0.448980
1.328000, -0.470076
1.330000, -0.491123
1.332000, -0.511716
1.334000, -0.531467
1.336000, -0.550016
1.338000, -0.567051
1.340000, -0.582316
1.342000, -0.595623
1.344000, -0.606860
1.346000, -0.615995
1.348000, -0.623078
1.350000, -0.628236
1.352000, -0.631672
1.354000, -0.633652
1.356000, -0.634501
1.358000, -0.634581
1.360000, -0.634284
1.362000, -0.634014
1.364000, -0.634167
1.366000, -0.635119
1.368000, -0.637211
1.370000, -0.640732
1.372000, -0.645910
1.374000, -0.652902
1.376000, -0.661788
1.378000, -0.672566
1.380000, -0.685153
1.382000, -0.699391
1.384000, -0.715048
1.386000, -0.731832
1.388000, -0.749400
1.390000, -0.767374
1.392000, -0.785352
1.394000, -0.802929
1.396000, -0.819712
1.398000, -0.835334
1.400000, -0.849468
1.402000, -0.861845
1.404000, -0.872259
1.406000, -0.880580
1.408000, -0.886756
1.410000, -0.890817
1.412000, -0.892871
1.414000, -0.893103
1.416000, -0.891767
1.418000, -0.889173
1.420000, -0.885676
1.422000, -0.881663
1.424000, -0.877536
1.426000, -0.873696
1.428000, -0.870527
1.430000, -0.868379
1.432000, -0.867556
1.434000, -0.868304
1.436000, -0.870799
1.438000, -0.875140
1.440000, -0.881347
1.442000, -0.889359
1.444000, -0.899034
1.446000, -0.910161
1.448000, -0.922462
1.450000, -0.935606
1.452000, -0.949222
1.454000, -0.962914
1.456000, -0.976279
1.458000, -0.988917
1.460000, -1.000454
1.462000, -1.010555
1.464000, -1.018934
1.466000, -1.025370
1.468000, -1.029713
1.470000, -1.031893
1.472000, -1.031919
1.474000, -1.029882
1.476000, -1.025949
1.478000, -1.020357
1.480000, -1.013404
1.482000, -1.005436
1.484000, -0.996836
1.486000, -0.988002
1.488000, -0.979338
1.490000, -0.971235
1.492000, -0.964054
1.494000, -0.958113
1.496000, -0.953673
1.498000, -0.950928
1.500000, -0.950000
1.502000, -0.950928
1.504000, -0.953673
1.506000, -0.958113
1.508000, -0.964054
1.510000, -0.971235
1.512000, -0.979338
1.514000, -0.988002
1.516000, -0.996836
1.518000, -1.005436
1.520000, -1.013404
1.522000, -1.020357
1.524000, -1.025949
1.526000, -1.029882
1.528000, -1.031919
1.530000, -1.031893
1.532000, -1.029713
1.534000, -1.025370
1.536000, -1.018934
1.538000, -1.010555
1.540000, -1.000454
1.542000, -0.988917
1.544000, -0.976279
1.546000, -0.962914
1.548000, -0.949222
1.550000, -0.935606
1.552000, -0.922462
1.554000, -0.910161
1.556000, -0.899034
1.558000, -0.889359
1.560000, -0.881347
1.562000, -0.875140
1.564000, -0.870799
1.566000, -0.868304
1.568000, -0.867556
1.570000, -0.868379
1.572000, -0.870527
1.574000, -0.873696
1.576000, -0.877536
1.578000, -0.881663
1.580000, -0.885676
1.582000, -0.889173
1.584000, -0.891767
1.586000, -0.893103
1.588000, -0.892871
1.590000, -0.890817
1.592000, -0.886756
1.594000, -0.880580
1.596000, -0.872259
1.598000, -0.861845
1.600000, -0.849468
1.602000, -0.835334
1.604000, -0.819712
1.606000, -0.802929
1.608000, -0.785352
1.610000, -0.767374
1.612000, -0.749400
1.614000, -0.731832
1.616000, -0.715048
1.618000, -0.699391
1.620000, -0.685153
1.622000, -0.672566
1.624000, -0.661788
1.626000, -0.652902
1.628000, -0.645910
1.630000, -0.640732
1.632000, -0.637211
1.634000, -0.635119
1.636000, -0.634167
1.638000, -0.634014
1.640000, -0.634284
1.642000, -0.634581
1.644000, -0.634501
1.646000, -0.633652
1.648000, -0.631672
1.650000, -0.628236
1.652000, -0.623078
1.654000, -0.615995
1.656000, -0.606860
1.658000, -0.595623
1.660000, -0.582316
1.662000, -0.567051
1.664000, -0.550016
1.666000, -0.531467
1.668000, -0.511716
1.670000, -0.491123
1.672000, -0.470076
1.674000, -0.448980
1.676000, -0.428238
1.678000, -0.408237
1.680000, -0.389331
1.682000, -0.371826
1.684000, -0.355970
1.686000, -0.341941
1.688000, -0.329842
1.690000, -0.319695
1.692000, -0.311442
1.694000, -0.304943
1.696000, -0.299990
1.698000, -0.296307
1.700000, -0.293566
1.702000, -0.291399
1.704000, -0.289412
1.706000, -0.287203
1.708000, -0.284377
1.710000, -0.280561
1.712000, -0.275422
1.714000, -0.268678
1.716000, -0.260108
1.718000, -0.249568
1.720000, -0.236987
1.722000, -0.222378
1.724000, -0.205833
1.726000, -0.187523
1.728000, -0.167686
1.730000, -0.146622
1.732000, -0.124681
1.734000, -0.102246
1.736000, -0.079719
1.738000, -0.057506
1.740000, -0.035999
1.742000, -0.015562
1.744000, 0.003486
1.746000, 0.020881
1.748000, 0.036427
1.750000, 0.050000
1.752000, 0.061559
1.754000, 0.071142
1.756000, 0.078867
1.758000, 0.084927
1.760000, 0.089582
1.762000, 0.093147
1.764000, 0.095983
1.766000, 0.098477
1.768000, 0.101031
1.770000, 0.104044
1.772000, 0.107895
1.774000, 0.112929
1.776000, 0.119441
1.778000, 0.127668
1.780000, 0.137776
1.782000, 0.149852
1.784000, 0.163906
1.786000, 0.179864
1.788000, 0.197576
1.790000, 0.216819
1.792000, 0.237306
1.794000, 0.258701
1.796000, 0.280627
1.798000, 0.302684
1.800000, 0.324468
1.802000, 0.345580
1.804000, 0.365649
1.806000, 0.384342
1.808000, 0.401382
1.810000, 0.416554
1.812000, 0.429716
1.814000, 0.440806
1.816000, 0.449843
1.818000, 0.456925
1.820000, 0.462228
1.822000, 0.465994
1.824000, 0.468529
1.826000, 0.470180
1.828000, 0.471332
1.830000, 0.472385
1.832000, 0.473738
1.834000, 0.475779
1.836000, 0.478863
1.838000, 0.483298
1.840000, 0.489338
1.842000, 0.497166
1.844000, 0.506891
1.846000, 0.518543
1.848000, 0.532067
1.850000, 0.547334
1.852000, 0.564138
1.854000, 0.582208
1.856000, 0.601219
1.858000, 0.620802
1.860000, 0.640564
1.862000, 0.660098
1.864000, 0.679005
1.866000, 0.696905
1.868000, 0.713455
1.870000, 0.728362
1.872000, 0.741397
1.874000, 0.752398
1.876000, 0.761283
1.878000, 0.768052
1.880000, 0.772784
1.882000, 0.775635
1.884000, 0.776834
1.886000, 0.776671
1.888000, 0.775485
1.890000, 0.773653
1.892000, 0.771573
1.894000, 0.769647
1.896000, 0.768268
1.898000, 0.767800
1.900000, 0.768566
1.902000, 0.770834
1.904000, 0.774806
1.906000, 0.780612
1.908000, 0.788300
1.910000, 0.797839
1.912000, 0.809118
1.914000, 0.821950
1.916000, 0.836080
1.918000, 0.851195
1.920000, 0.866938
1.922000, 0.882920
1.924000, 0.898737
1.926000, 0.913987
1.928000, 0.928284
1.930000, 0.941275
1.932000, 0.952656
1.934000, 0.962178
1.936000, 0.969664
1.938000, 0.975014
1.940000, 0.978206
1.942000, 0.979299
1.944000, 0.978433
1.946000, 0.975820
1.948000, 0.971735
1.950000, 0.966507
1.952000, 0.960507
1.954000, 0.954129
1.956000, 0.947777
1.958000, 0.941846
1.960000, 0.936712
1.962000, 0.932709
1.964000, 0.930120
1.966000, 0.929167
1.968000, 0.929997
1.970000, 0.932682
1.972000, 0.937209
1.974000, 0.943490
1.976000, 0.951355
1.978000, 0.960566
1.980000, 0.970826
1.982000, 0.981786
1.984000, 0.993067
1.986000, 1.004265
1.988000, 1.014979
1.990000, 1.024818
1.992000, 1.033420
1.994000, 1.040466
1.996000, 1.045696
1.998000, 1.048914
2.000000, 1.050000
