i, y_i, x_i
407, -0.9202, 5.1145
408, -0.9152, 5.1271
409, -0.9101, 5.1396
410, -0.9048, 5.1522
411, -0.8994, 5.1648
412, -0.8938, 5.1773
413, -0.8881, 5.1899
414, -0.8823, 5.2025
415, -0.8763, 5.215
416, -0.8702, 5.2276
417, -0.8639, 5.2402
418, -0.8575, 5.2527
419, -0.851, 5.2653
420, -0.8443, 5.2779
421, -0.8375, 5.2904
422, -0.8306, 5.303
423, -0.8235, 5.3156
424, -0.8163, 5.3281
425, -0.809, 5.3407
426, -0.8016, 5.3533
427, -0.794, 5.3658
428, -0.7863, 5.3784
429, -0.7785, 5.391
430, -0.7705, 5.4035
431, -0.7624, 5.4161
432, -0.7543, 5.4287
433, -0.7459, 5.4412
434, -0.7375, 5.4538
435, -0.729, 5.4664
436, -0.7203, 5.4789
437, -0.7115, 5.4915
438, -0.7026, 5.5041
439, -0.6937, 5.5166
440, -0.6845, 5.5292
441, -0.6753, 5.5418
442, -0.666, 5.5543
443, -0.6566, 5.5669
444, -0.6471, 5.5795
445, -0.6374, 5.592
446, -0.6277, 5.6046
447, -0.6179, 5.6172
448, -0.6079, 5.6297
449, -0.5979, 5.6423
450, -0.5878, 5.6549
451, -0.5776, 5.6674
452, -0.5673, 5.68
453, -0.5569, 5.6926
454, -0.5464, 5.7051
455, -0.5358, 5.7177
456, -0.5252, 5.7303
457, -0.5144, 5.7428
458, -0.5036, 5.7554
459, -0.4927, 5.768
460, -0.4818, 5.7805
461, -0.4707, 5.7931
462, -0.4596, 5.8057
463, -0.4484, 5.8182
464, -0.4371, 5.8308
465, -0.4258, 5.8434
466, -0.4144, 5.8559
467, -0.4029, 5.8685
468, -0.3914, 5.8811
469, -0.3798, 5.8936
470, -0.3681, 5.9062
471, -0.3564, 5.9188
472, -0.3446, 5.9313
473, -0.3328, 5.9439
474, -0.3209, 5.9565
475, -0.309, 5.969
476, -0.297, 5.9816
477, -0.285, 5.9942
478, -0.273, 6.0067
479, -0.2608, 6.0193
480, -0.2487, 6.0319
481, -0.2365, 6.0444
482, -0.2243, 6.057
483, -0.212, 6.0696
484, -0.1997, 6.0821
485, -0.1874, 6.0947
486, -0.175, 6.1073
487, -0.1626, 6.1198
488, -0.1502, 6.1324
489, -0.1378, 6.145
490, -0.1253, 6.1575
491, -0.1129, 6.1701
492, -0.1004, 6.1827
493, -0.0879, 6.1952
494, -0.0753, 6.2078
495, -0.0628, 6.2204
496, -0.0502, 6.2329
497, -0.0377, 6.2455
498, -0.0251, 6.2581
499, -0.0126, 6.2706
500, -0.0, 6.2832
