x^1,x^2,x^3,x^4,x^5
5.959595959595960224e-01,3.551678400163249538e-01,2.116656824339714638e-01,1.261441945818617960e-01,7.517684323565501647e-02
6.060606060606060774e-01,3.673094582185491563e-01,2.226117928597267648e-01,1.349162380968041142e-01,8.176741702836612391e-02
6.161616161616162435e-01,3.796551372308948902e-01,2.339289229402484183e-01,1.441380232258096528e-01,8.881231734115545284e-02
6.262626262626262985e-01,3.922048770533619333e-01,2.456232563364489085e-01,1.538246655844427713e-01,9.633463905288335016e-02
6.363636363636364646e-01,4.049586776859505632e-01,2.577009767092413028e-01,1.639915306331535816e-01,1.043582467665522956e-01
6.464646464646465196e-01,4.179165391286603914e-01,2.701682677195380577e-01,1.746542336772771431e-01,1.129077874277347321e-01
6.565656565656565746e-01,4.310784613814916955e-01,2.830313130282521294e-01,1.858286398670342399e-01,1.220087029430022701e-01
6.666666666666667407e-01,4.444444444444445308e-01,2.962962962962963909e-01,1.975308641975309643e-01,1.316872427983539762e-01
6.767676767676767957e-01,4.580144883175186754e-01,3.099694011845833264e-01,2.097772715087584394e-01,1.419704766776445914e-01
6.868686868686869618e-01,4.717885930007143513e-01,3.240568113540260309e-01,2.225844764855936797e-01,1.528863070810138614e-01
6.969696969696970168e-01,4.857667584940312810e-01,3.385647104655369888e-01,2.359693436577985082e-01,1.644634819433141160e-01
7.070707070707071829e-01,4.999489847974697976e-01,3.534992821800291840e-01,2.499489874000206946e-01,1.767316072525399184e-01
7.171717171717172379e-01,5.143352719110295679e-01,3.688667101584152119e-01,2.645407719317927620e-01,1.897211596682554235e-01
7.272727272727272929e-01,5.289256198347107585e-01,3.846731780616078344e-01,2.797623113175329856e-01,2.034634991400239845e-01
7.373737373737374590e-01,5.437200285685135359e-01,4.009248695505201465e-01,2.956314694665451714e-01,2.179908815258363719e-01
7.474747474747475140e-01,5.587184981124375671e-01,4.176279682860644660e-01,3.121663601330179061e-01,2.333364712105386318e-01
7.575757575757576801e-01,5.739210284664831851e-01,4.347886579291539988e-01,3.293853469160257785e-01,2.495343537242619980e-01
7.676767676767677351e-01,5.893276196306500569e-01,4.524131221407010628e-01,3.473070432595281032e-01,2.666195483608498895e-01
7.777777777777777901e-01,6.049382716049382935e-01,4.705075445816186974e-01,3.659503124523700857e-01,2.846280207962878506e-01
7.878787878787879562e-01,6.207529843893481170e-01,4.890781089128197756e-01,3.853342676282823231e-01,3.035966957071315475e-01
7.979797979797980112e-01,6.367717579838791941e-01,5.081309987952168372e-01,4.054782717658800828e-01,3.235634693889345992e-01
8.080808080808081773e-01,6.529945923885319692e-01,5.276723978897228662e-01,4.264019376886649670e-01,3.445672223746787943e-01
8.181818181818182323e-01,6.694214876033058870e-01,5.477084898572502913e-01,4.481251280650229707e-01,3.666478320532006729e-01
8.282828282828283983e-01,6.860524436282013916e-01,5.682454583587123187e-01,4.706679554082264794e-01,3.898461852876219380e-01
8.383838383838384534e-01,7.028874604632181500e-01,5.892894870550213771e-01,4.940507820764320490e-01,4.142041910337764254e-01
8.484848484848485084e-01,7.199265381083563842e-01,6.108467596070902284e-01,5.182942202726826819e-01,4.397647929586398496e-01
8.585858585858586745e-01,7.371696765636160942e-01,6.329234596758320786e-01,5.434191320449064388e-01,4.665719820587580502e-01
8.686868686868687295e-01,7.546168758289971690e-01,6.555257709221591345e-01,5.694466292859160506e-01,4.946708092786745725e-01
8.787878787878788955e-01,7.722681359044997196e-01,6.786598770069847131e-01,5.963980737334109161e-01,5.241073981293611350e-01
8.888888888888889506e-01,7.901234567901235240e-01,7.023319615912210212e-01,6.242950769699742164e-01,5.549289573066438219e-01
8.989898989898991166e-01,8.081828384858690262e-01,7.265482083357813758e-01,6.531595004230762447e-01,5.871837933096343276e-01
9.090909090909091717e-01,8.264462809917356712e-01,7.513148009015779838e-01,6.830134553650709650e-01,6.209213230591554833e-01
9.191919191919192267e-01,8.449137843077237919e-01,7.766379229495239400e-01,7.138793029131987877e-01,6.561920865161726679e-01
9.292929292929293927e-01,8.635853484338334995e-01,8.025237581405322285e-01,7.457796540295855703e-01,6.930477593002210002e-01
9.393939393939394478e-01,8.824609733700643499e-01,8.289784901355150559e-01,7.787373695212415070e-01,7.315411653078329746e-01
9.494949494949496138e-01,9.015406591164168981e-01,8.560083025953858504e-01,8.127755600400634606e-01,7.717262893309694283e-01
9.595959595959596689e-01,9.208244056728907001e-01,8.836193791810567078e-01,8.479175860828322975e-01,8.136582896754451788e-01
9.696969696969697239e-01,9.403122130394858669e-01,9.118179035534408339e-01,8.841870579912153305e-01,8.573935107793603239e-01
9.797979797979798899e-01,9.600040812162026205e-01,9.406100593734511017e-01,9.216078359517653196e-01,9.029894958315277664e-01
9.898989898989899450e-01,9.799000102030406278e-01,9.700020303019998291e-01,9.602040299959190284e-01,9.505049993898997407e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
